year,plan_id,plan_name,location,iso,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,funding,type,revisedRequirements,gdp_defl,requirements_defl,funding_defl
2018,629,Syria Humanitarian Response Plan 2018,Syrian Arab Republic,SYR,0,Total,In need,inNeed,13100000,Total,Total,National PIN,GHO June Status Report,2103867885,Humanitarian response plan,3364410629,0.986341275239942,3411000546.62273,2133001971.84611
2018,629,Syria Humanitarian Response Plan 2018,Syrian Arab Republic,SYR,0,Total,Target,target,11200000,Total,Total,National PIN,GHO June Status Report,2103867885,Humanitarian response plan,3364410629,0.986341275239942,3411000546.62273,2133001971.84611
2018,633,occupied Palestinian territory 2018  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,In need,inNeed,2500000,Total,Total,Caseload,,239678799,Humanitarian response plan,539721755,0.986341275239942,547195751.154898,242997839.608501
2018,633,occupied Palestinian territory 2018  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,Target,target,1900000,Total,Total,Caseload,,239678799,Humanitarian response plan,539721755,0.986341275239942,547195751.154898,242997839.608501
2018,634,Iraq 2018,Iraq,IRQ,0,Total,In Need,inNeed,8700000,Total,Total,Key figures,IRAQ HRP 2018,556873208,Humanitarian response plan,568745625,0.986341275239942,576621539.904273,564584715.22905
2018,634,Iraq 2018,Iraq,IRQ,0,Total,Target,target,3400000,Total,Total,Key figures,IRAQ HRP 2018,556873208,Humanitarian response plan,568745625,0.986341275239942,576621539.904273,564584715.22905
2018,635,Sudan 2018,Sudan,SDN,0,Total,In need,inNeed,5500000,Total,Total,National PIN,Sudan Humanitarian Snapshot Dec 2018,612099872,Humanitarian response plan,1007555093,0.986341275239942,1021507583.9292,620576150.836938
2018,635,Sudan 2018,Sudan,SDN,0,Total,Target,target,4300000,Total,Total,National PIN,Sudan Humanitarian Snapshot Dec 2018,612099872,Humanitarian response plan,1007555093,0.986341275239942,1021507583.9292,620576150.836938
2018,636,Libya 2018,Libya,LBY,0,Total,In need,inNeed,1100000,Total,Total,National PIN,GHO June Status Report,78197569,Humanitarian response plan,312740102,0.986341275239942,317070885.960766,79280438.6909362
2018,636,Libya 2018,Libya,LBY,0,Total,Target,target,940000,Total,Total,National PIN,GHO June Status Report,78197569,Humanitarian response plan,312740102,0.986341275239942,317070885.960766,79280438.6909362
2018,637,Chad 2018,Chad,TCD,0,Total,In need,inNeed,4859413,Total,Total,Chad 2018 Caseload,HNO HRP 2018,249428720,Humanitarian response plan,543769241,0.986341275239942,551299286.210769,252882776.237183
2018,637,Chad 2018,Chad,TCD,0,Total,Target,target,2142252,Total,Total,Chad 2018 Caseload,HNO HRP 2018,249428720,Humanitarian response plan,543769241,0.986341275239942,551299286.210769,252882776.237183
2018,638,Mali 2018,Mali,MLI,0,Total,In Need,inNeed,4100000,Total,Total,Key figures,,178987000,Humanitarian response plan,329565482,0.986341275239942,334129261.618732,181465588.527114
2018,638,Mali 2018,Mali,MLI,0,Total,Targeted,target,1560000,Total,Total,Key figures,,178987000,Humanitarian response plan,329565482,0.986341275239942,334129261.618732,181465588.527114
2018,639,Burundi 2018,Burundi,BDI,0,Total,In need,inNeed,3602553,Total,Total,National PIN,,81712616,Humanitarian response plan,141814441,0.986341275239942,143778268.800017,82844161.6012898
2018,639,Burundi 2018,Burundi,BDI,0,Total,Target,target,2359782,Total,Total,National PIN,,81712616,Humanitarian response plan,141814441,0.986341275239942,143778268.800017,82844161.6012898
2018,640,Cameroon 2018,Cameroon,CMR,0,Total,In need,inNeed,3300000,Total,Total,Key figures,,144311006,Humanitarian response plan,319676453,0.986341275239942,324103290.64069,146309405.905065
2018,640,Cameroon 2018,Cameroon,CMR,0,Total,Target,target,1300000,Total,Total,Key figures,,144311006,Humanitarian response plan,319676453,0.986341275239942,324103290.64069,146309405.905065
2018,641,Ukraine Humanitarian Response Plan 2018,Ukraine,UKR,0,Total,In need,inNeed,3400000,Total,Total,Key figures,,70773032,Humanitarian response plan,186909122,0.986341275239942,189497415.034702,71753087.6752404
2018,641,Ukraine Humanitarian Response Plan 2018,Ukraine,UKR,0,Total,Target,target,2300000,Total,Total,Key figures,,70773032,Humanitarian response plan,186909122,0.986341275239942,189497415.034702,71753087.6752404
2018,642,Nigeria 2018,Nigeria,NGA,0,Total,In Need,inNeed,7700000,Total,Total,The number of people estimated to be in need and targeted for humanitarian assistance,Nigeria 2018 Humanitarian Response Plan,720185919,Humanitarian response plan,1047768587,0.986341275239942,1062277949.12579,730158959.255562
