year,plan_id,plan_name,location,iso,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,funding,type,revisedRequirements,gdp_defl,requirements_defl,funding_defl
2018,642,Nigeria 2018,Nigeria,NGA,0,Total,Targeted,target,6100000,Total,Total,The number of people estimated to be in need and targeted for humanitarian assistance,Nigeria 2018 Humanitarian Response Plan,720185919,Humanitarian response plan,1047768587,0.986341275239942,1062277949.12579,730158959.255562
2018,643,Niger 2018,Niger,NER,0,Total,In need,inNeed,2449484,Total,Total,Caseload du Plan,,179539906,Humanitarian response plan,338303089,0.986341275239942,342987865.855764,182026151.096966
2018,643,Niger 2018,Niger,NER,0,Total,Target,target,1783897,Total,Total,Caseload du Plan,,179539906,Humanitarian response plan,338303089,0.986341275239942,342987865.855764,182026151.096966
2018,644,Somalia 2018,Somalia,SOM,0,Total,In need,inNeed,5400000,Total,Total,Key Figures,Somalia 2018 HRP,925694066,Humanitarian response plan,1542514570,0.986341275239942,1563875109.68226,938512956.151826
2018,644,Somalia 2018,Somalia,SOM,0,Total,Target,target,4700000,Total,Total,Key Figures,Somalia 2018 HRP,925694066,Humanitarian response plan,1542514570,0.986341275239942,1563875109.68226,938512956.151826
2018,645,Afghanistan 2018,Afghanistan,AFG,0,Total,Targeted,target,2774828,Total,Total,Overall PIN,2018 HRP,468081115,Humanitarian response plan,598923998,0.986341275239942,607217819.059943,474563040.957738
2018,646,Republic of South Sudan 2018,South Sudan,SSD,0,Total,In Need,inNeed,7e+06,Total,Total,Key figures,HRP 2018,1207014522,Humanitarian response plan,1717890485,0.986341275239942,1741679607.37737,1223729100.97104
2018,646,Republic of South Sudan 2018,South Sudan,SSD,0,Total,Target,target,6e+06,Total,Total,Key figures,HRP 2018,1207014522,Humanitarian response plan,1717890485,0.986341275239942,1741679607.37737,1223729100.97104
2018,649,Haiti 2018,Haiti,HTI,0,Total,In Need,inNeed,2800000,Total,Total,Key figures,HRP 2018,29602801,Humanitarian response plan,252200142,0.986341275239942,255692576.525958,30012736.7100182
2018,649,Haiti 2018,Haiti,HTI,0,Total,Target,target,2200000,Total,Total,Key figures,HRP 2018,29602801,Humanitarian response plan,252200142,0.986341275239942,255692576.525958,30012736.7100182
2018,651,Central African Republic 2018,Central African Republic,CAF,0,Total,In Need,inNeed,2500000,Total,Total,National PIN,GHO June Status Report,280397310,Humanitarian response plan,515600000,0.986341275239942,522739961.251822,284280215.214343
2018,651,Central African Republic 2018,Central African Republic,CAF,0,Total,Target,target,1900000,Total,Total,National PIN,GHO June Status Report,280397310,Humanitarian response plan,515600000,0.986341275239942,522739961.251822,284280215.214343
2018,652,Democratic Republic of the Congo 2018,"Congo, The Democratic Republic of the",COD,0,Total,In Need,inNeed,13100000,Total,Total,National PIN,GHO June Status Report,818437889,Humanitarian response plan,1675200000,0.986341275239942,1698397950.13393,829771509.664242
2018,652,Democratic Republic of the Congo 2018,"Congo, The Democratic Republic of the",COD,0,Total,Target,target,10500000,Total,Total,National PIN,GHO June Status Report,818437889,Humanitarian response plan,1675200000,0.986341275239942,1698397950.13393,829771509.664242
2018,655,Myanmar 2018,Myanmar,MMR,0,Total,In Need,inNeed,863000,Total,Total,Key figures,HRP 2018,138020304,Humanitarian response plan,183400000,0.986341275239942,185939699.172972,139931591.087907
2018,655,Myanmar 2018,Myanmar,MMR,0,Total,Target,target,832000,Total,Total,Key figures,HRP 2018,138020304,Humanitarian response plan,183400000,0.986341275239942,185939699.172972,139931591.087907
2018,657,Yemen 2018,Yemen,YEM,0,Total,In Need,inNeed,22200000,Total,Total,National PIN,GHO June Status Report,2511018682,Humanitarian response plan,3108067800,0.986341275239942,3151107915.70992,2545790939.74259
2018,657,Yemen 2018,Yemen,YEM,0,Total,Target,target,13100000,Total,Total,National PIN,GHO June Status Report,2511018682,Humanitarian response plan,3108067800,0.986341275239942,3151107915.70992,2545790939.74259
2018,658,Syria regional refugee and resilience plan (3RP) 2018,Jordan; Iraq; Turkey; Egypt; Lebanon,JOR; IRQ; TUR; EGY; LBN,0,Total,In Need,inNeed,5300000,Total,Total,3RP PIN,GHO 2018,2985475007,Regional response plan,5608951510,0.986341275239942,5686623535.68803,3026817473.7732
2018,658,Syria regional refugee and resilience plan (3RP) 2018,Jordan; Iraq; Turkey; Egypt; Lebanon,JOR; IRQ; TUR; EGY; LBN,0,Total,Target,target,5300000,Total,Total,3RP PIN,GHO 2018,2985475007,Regional response plan,5608951510,0.986341275239942,5686623535.68803,3026817473.7732
2018,660,Ethiopia Humanitarian and Disaster Resilience Plan 2018,Ethiopia,ETH,0,Total,In Need,inNeed,7900000,Total,Total,National PIN,GHO June Status Report,655870394,Humanitarian response plan,1177218620,0.986341275239942,1193520589.22367,664952801.291267
2018,660,Ethiopia Humanitarian and Disaster Resilience Plan 2018,Ethiopia,ETH,0,Total,Target,target,7900000,Total,Total,National PIN,GHO June Status Report,655870394,Humanitarian response plan,1177218620,0.986341275239942,1193520589.22367,664952801.291267
2019,662,Ukraine Humanitarian Response Plan (HRP) 2019,Ukraine,UKR,0,Total,In Need,inNeed,3500000,Total,Total,"",,86604543,Humanitarian response plan,164402538,0.97857140694867,168002597.28887,88500994.8022554
2019,662,Ukraine Humanitarian Response Plan (HRP) 2019,Ukraine,UKR,0,Total,Targeted,target,2300000,Total,Total,"",,86604543,Humanitarian response plan,164402538,0.97857140694867,168002597.28887,88500994.8022554
2019,663,Syria Humanitarian Response Plan 2019,Syrian Arab Republic,SYR,0,Total,In Need,inNeed,11708496,Total,Total,National PIN,HRP Summary,2096328827,Humanitarian response plan,3293416196,0.97857140694867,3365534873.19781,2142233885.14555
2019,663,Syria Humanitarian Response Plan 2019,Syrian Arab Republic,SYR,0,Total,Targeted,target,11708496,Total,Total,National PIN,HRP Summary,2096328827,Humanitarian response plan,3293416196,0.97857140694867,3365534873.19781,2142233885.14555
2019,664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,In Need,inNeed,2500000,Total,Total,People targeted,,276853214,Humanitarian response plan,350589271,0.97857140694867,358266416.237512,282915699.390062
2019,664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,Targeted,target,1400000,Total,Total,People targeted,,276853214,Humanitarian response plan,350589271,0.97857140694867,358266416.237512,282915699.390062
2019,667,Somalia 2019,Somalia,SOM,0,Total,In Need,inNeed,4200000,Total,Total,Somalia Figures,Somalia GHO Input,897874746,Humanitarian response plan,1077453103,0.97857140694867,1101046990.89835,917536257.062431
2019,667,Somalia 2019,Somalia,SOM,0,Total,Targeted,target,3400000,Total,Total,Somalia Figures,Somalia GHO Input,897874746,Humanitarian response plan,1077453103,0.97857140694867,1101046990.89835,917536257.062431
2019,668,Chad 2019,Chad,TCD,0,Total,In Need,inNeed,4269261,Total,Total,Figures,OCHA Chad,277569588,Humanitarian response plan,476641195,0.97857140694867,487078604.193267,283647760.428136
2019,668,Chad 2019,Chad,TCD,0,Total,Targeted,target,2003044,Total,Total,Figures,OCHA Chad,277569588,Humanitarian response plan,476641195,0.97857140694867,487078604.193267,283647760.428136
2019,670,Sudan 2019,Sudan,SDN,0,Total,In Need,inNeed,5674216.36,Total,Total,SUDAN,SUDAN HRP 2019,602535565,Humanitarian response plan,1149289490,0.97857140694867,1174456439.08977,615729788.057874
2019,670,Sudan 2019,Sudan,SDN,0,Total,Targeted,target,4392716,Total,Total,SUDAN,SUDAN HRP 2019,602535565,Humanitarian response plan,1149289490,0.97857140694867,1174456439.08977,615729788.057874
2019,671,Iraq 2019,Iraq,IRQ,0,Total,In Need,inNeed,6650000,Total,Total,"",,688664080,Humanitarian response plan,701154139,0.97857140694867,716507895.10221,703744330.878577
2019,671,Iraq 2019,Iraq,IRQ,0,Total,Targeted,target,1750000,Total,Total,"",,688664080,Humanitarian response plan,701154139,0.97857140694867,716507895.10221,703744330.878577
2019,672,Afghanistan 2019,Afghanistan,AFG,0,Total,In Need,inNeed,6294000,Total,Total,Plan Caseload 2019,,466719957,Humanitarian response plan,611759986,0.97857140694867,625156203.8866,476940112.582383
2019,672,Afghanistan 2019,Afghanistan,AFG,0,Total,Targeted,target,4490000,Total,Total,Plan Caseload 2019,,466719957,Humanitarian response plan,611759986,0.97857140694867,625156203.8866,476940112.582383
2019,673,Democratic Republic of the Congo 2019,"Congo, The Democratic Republic of the",COD,0,Total,In Need,inNeed,12800000,Total,Total,BFP,,733003726,Humanitarian response plan,1653700000,0.97857140694867,1689912446.09985,749054919.033056
2019,673,Democratic Republic of the Congo 2019,"Congo, The Democratic Republic of the",COD,0,Total,Targeted,target,9e+06,Total,Total,BFP,,733003726,Humanitarian response plan,1653700000,0.97857140694867,1689912446.09985,749054919.033056
2019,674,Central African Republic 2019,Central African Republic,CAF,0,Total,In Need,inNeed,2900000,Total,Total,2019 Planning Figures for GHO,,302833475,Humanitarian response plan,430700000,0.97857140694867,440131396.586567,309464871.801517
2019,674,Central African Republic 2019,Central African Republic,CAF,0,Total,Targeted,target,1700000,Total,Total,2019 Planning Figures for GHO,,302833475,Humanitarian response plan,430700000,0.97857140694867,440131396.586567,309464871.801517
2019,675,Yemen 2019,Yemen,YEM,0,Total,Total In Need,inNeed,24100000,Total,Total,National PIN,,3635579639,Humanitarian response plan,4192680354,0.97857140694867,4284490967.37191,3715190954.06259
2019,675,Yemen 2019,Yemen,YEM,0,Total,Targeted,target,21400000,Total,Total,National PIN,,3635579639,Humanitarian response plan,4192680354,0.97857140694867,4284490967.37191,3715190954.06259
2019,676,Niger 2019,Niger,NER,0,Total,In Need,inNeed,2300000,Total,Total,figures,OCHA Niger,221085851,Humanitarian response plan,383101817,0.97857140694867,391490916.533693,225927151.999442
2019,676,Niger 2019,Niger,NER,0,Total,Targeted,target,1600000,Total,Total,figures,OCHA Niger,221085851,Humanitarian response plan,383101817,0.97857140694867,391490916.533693,225927151.999442
2019,677,Ethiopia 2019,Ethiopia,ETH,0,Total,In Need,inNeed,8864257,Total,Total,HRP 2019,CO,641298183,Humanitarian response plan,844548490,0.97857140694867,863042271.624742,655341223.385693
2019,677,Ethiopia 2019,Ethiopia,ETH,0,Total,Targeted,target,8303796,Total,Total,HRP 2019,CO,641298183,Humanitarian response plan,844548490,0.97857140694867,863042271.624742,655341223.385693
2019,678,Myanmar 2019,Myanmar,MMR,0,Total,In Need,inNeed,941000,Total,Total,National caseload,,181862117,Humanitarian response plan,214360000,0.97857140694867,219054019.438812,185844503.230554
2019,678,Myanmar 2019,Myanmar,MMR,0,Total,Targeted,target,941000,Total,Total,National caseload,,181862117,Humanitarian response plan,214360000,0.97857140694867,219054019.438812,185844503.230554
2019,679,Haiti 2019,Haiti,HTI,0,Total,In Need,inNeed,2600000,Total,Total,"",,40834339,Humanitarian response plan,126207627,0.97857140694867,128971300.514016,41728522.5278833
2019,679,Haiti 2019,Haiti,HTI,0,Total,Targeted,target,1300000,Total,Total,"",,40834339,Humanitarian response plan,126207627,0.97857140694867,128971300.514016,41728522.5278833
2019,712,Libya 2019,Libya,LBY,0,Total,In Need,inNeed,822890,Total,Total,Humanitarian profile,HNO,99845621,Humanitarian response plan,201624438,0.97857140694867,206039576.231534,102032023.714379
2019,712,Libya 2019,Libya,LBY,0,Total,Targeted,target,552000,Total,Total,Humanitarian profile,HNO,99845621,Humanitarian response plan,201624438,0.97857140694867,206039576.231534,102032023.714379
2019,713,South Sudan 2019,South Sudan,SSD,0,Total,In Need,inNeed,7207217,Total,Total,HNO data,HDX,1137655086,Humanitarian response plan,1507421344,0.97857140694867,1540430604.54869,1162567266.85626
2019,713,South Sudan 2019,South Sudan,SSD,0,Total,Targeted,target,5690877,Total,Total,HNO data,HDX,1137655086,Humanitarian response plan,1507421344,0.97857140694867,1540430604.54869,1162567266.85626
2019,714,Nigeria 2019,Nigeria,NGA,0,Total,In Need,inNeed,7124606,Total,Total,Humanitarian Profile,Nigeria 2019 HNO and HRP,631780615,Humanitarian response plan,847703581,0.97857140694867,866266452.279926,645615241.272975
2019,714,Nigeria 2019,Nigeria,NGA,0,Total,Targeted,target,6200411,Total,Total,Humanitarian Profile,Nigeria 2019 HNO and HRP,631780615,Humanitarian response plan,847703581,0.97857140694867,866266452.279926,645615241.272975
2019,716,Mali 2019,Mali,MLI,0,Total,In Need,inNeed,3200000,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali,166073298,Humanitarian response plan,323953738,0.97857140694867,331047622.789363,169709943.311997
2019,716,Mali 2019,Mali,MLI,0,Total,Targeted,target,2300000,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali,166073298,Humanitarian response plan,323953738,0.97857140694867,331047622.789363,169709943.311997
2019,717,DPR Korea Needs and Priorities 2019,"Korea, Democratic People's Republic of",PRK,0,Total,In Need,inNeed,10900000,Total,Total,National humanitarian profile,DPRK 2019 Needs and Priorities,40655672,Other,120345890,0.97857140694867,122981204.177277,41545943.1077905
2019,717,DPR Korea Needs and Priorities 2019,"Korea, Democratic People's Republic of",PRK,0,Total,Targeted,target,3800000,Total,Total,National humanitarian profile,DPRK 2019 Needs and Priorities,40655672,Other,120345890,0.97857140694867,122981204.177277,41545943.1077905
2019,718,Cameroon 2019,Cameroon,CMR,0,Total,In Need,inNeed,4300000,Total,Total,figures,OCHA Cameroon,130123308,Humanitarian response plan,298882369,0.97857140694867,305427245.142957,132972726.441848
2019,718,Cameroon 2019,Cameroon,CMR,0,Total,Targeted,target,2300000,Total,Total,figures,OCHA Cameroon,130123308,Humanitarian response plan,298882369,0.97857140694867,305427245.142957,132972726.441848
2019,719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),Bangladesh,BGD,0,Total,In Need,inNeed,1200000,Total,Total,Humanitarian profile,GHO 2019,691870583,Other,920461273,0.97857140694867,940617380.054189,707021049.345141
2019,719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),Bangladesh,BGD,0,Total,Targeted,target,1200000,Total,Total,Humanitarian profile,GHO 2019,691870583,Other,920461273,0.97857140694867,940617380.054189,707021049.345141
2019,720,Pakistan 2019,Pakistan,PAK,0,Total,In Need,inNeed,7900000,Total,Total,Overall Caseload,,58325150,Other,201961132,0.97857140694867,206383643.10045,59602344.3826817
2019,720,Pakistan 2019,Pakistan,PAK,0,Total,Targeted,target,3100000,Total,Total,Overall Caseload,,58325150,Other,201961132,0.97857140694867,206383643.10045,59602344.3826817
2019,721,Burundi 2019,Burundi,BDI,0,Total,In Need,inNeed,1769125,Total,Total,figures,OCHA Burundi,74829432,Humanitarian response plan,106286557,0.97857140694867,108614002.253977,76468034.3903867
2019,721,Burundi 2019,Burundi,BDI,0,Total,Targeted,target,711528,Total,Total,figures,OCHA Burundi,74829432,Humanitarian response plan,106286557,0.97857140694867,108614002.253977,76468034.3903867
2019,722,Zimbabwe Flash Appeal 2019 / 2020,Zimbabwe,ZWE,0,Total,In Need,inNeed,5300000,Total,Total,National PIN,Flash Appeal document,243579788,Flash appeal,467934732,0.97857140694867,478181488.522222,248913657.470861
2019,722,Zimbabwe Flash Appeal 2019 / 2020,Zimbabwe,ZWE,0,Total,Targeted,target,2200000,Total,Total,National PIN,Flash Appeal document,243579788,Flash appeal,467934732,0.97857140694867,478181488.522222,248913657.470861
2019,724,Syria Refugee Response and Resilience Plan (3RP) 2019,Egypt; Iraq; Jordan; Lebanon; Turkey,EGY; IRQ; JOR; LBN; TUR,0,Total,In Need,inNeed,5500000,Total,Total,Caseload estimate (late 2018),,2351835232,Regional response plan,5534930515,0.97857140694867,5656133497.97204,2403335326.68134
2019,724,Syria Refugee Response and Resilience Plan (3RP) 2019,Egypt; Iraq; Jordan; Lebanon; Turkey,EGY; IRQ; JOR; LBN; TUR,0,Total,Targeted,target,5500000,Total,Total,Caseload estimate (late 2018),,2351835232,Regional response plan,5534930515,0.97857140694867,5656133497.97204,2403335326.68134
2019,726,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),Brazil; Colombia; Ecuador; Aruba; Peru; Curaçao; Dominican Republic; Guyana; Trinidad and Tobago; Costa Rica; Mexico; Panama; Argentina; Chile; Uruguay; Paraguay,BRA; COL; ECU; ABW; PER; CUW; DOM; GUY; TTO; CRI; MEX; PAN; ARG; CHL; URY; PRY,0,Total,In Need,inNeed,3600000,Total,Total,Humanitarian profile,GHO 2019,403022948,Other,737611378,0.97857140694867,753763468.626149,411848277.129499
2019,726,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),Brazil; Colombia; Ecuador; Aruba; Peru; Curaçao; Dominican Republic; Guyana; Trinidad and Tobago; Costa Rica; Mexico; Panama; Argentina; Chile; Uruguay; Paraguay,BRA; COL; ECU; ABW; PER; CUW; DOM; GUY; TTO; CRI; MEX; PAN; ARG; CHL; URY; PRY,0,Total,Targeted,target,2200000,Total,Total,Humanitarian profile,GHO 2019,403022948,Other,737611378,0.97857140694867,753763468.626149,411848277.129499
2019,727,Madagascar Flash Appeal 2019,Madagascar,MDG,0,Total,In Need,inNeed,890000,Total,Total,National PIN,Flash Appeal document,29535944,Flash appeal,32438095,0.97857140694867,33148418.9806309,30182717.1632752
2019,727,Madagascar Flash Appeal 2019,Madagascar,MDG,0,Total,Targeted,target,460000,Total,Total,National PIN,Flash Appeal document,29535944,Flash appeal,32438095,0.97857140694867,33148418.9806309,30182717.1632752
2019,761,Mozambique Humanitarian Response Plan 2019,Mozambique,MOZ,0,Total,In Need,inNeed,2580000,Total,Total,Overall Caseload,,314372313,Humanitarian response plan,620547627,0.97857140694867,634136275.179917,321256385.346736
2019,761,Mozambique Humanitarian Response Plan 2019,Mozambique,MOZ,0,Total,Targeted,target,2420000,Total,Total,Overall Caseload,,314372313,Humanitarian response plan,620547627,0.97857140694867,634136275.179917,321256385.346736
2019,794,Burkina Faso 2019,Burkina Faso,BFA,0,Total,In Need,inNeed,1200000,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf,96331060,Other,186965134,0.97857140694867,191059265.243591,98440501.4452389
2019,794,Burkina Faso 2019,Burkina Faso,BFA,0,Total,Targeted,target,898000,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf,96331060,Other,186965134,0.97857140694867,191059265.243591,98440501.4452389
2019,827,Venezuela 2019,"Venezuela, Bolivarian Republic of",VEN,0,Total,In Need,inNeed,7037319,Total,Total,"",,75385849,Humanitarian response plan,222724387,0.97857140694867,227601568.386805,77036635.7168193
2019,827,Venezuela 2019,"Venezuela, Bolivarian Republic of",VEN,0,Total,Targeted,target,2662991,Total,Total,"",,75385849,Humanitarian response plan,222724387,0.97857140694867,227601568.386805,77036635.7168193
2019,829,Islamic Republic of Iran: Floods Response Plan (April 2019),"Iran, Islamic Republic of",IRN,0,Total,In Need,inNeed,2e+06,Total,Total,Plan caseload,Link,10741438,Other,2.5e+07,0.97857140694867,25547445.8199772,10976652.2133458
2019,829,Islamic Republic of Iran: Floods Response Plan (April 2019),"Iran, Islamic Republic of",IRN,0,Total,Targeted,target,115000,Total,Total,Plan caseload,Link,10741438,Other,2.5e+07,0.97857140694867,25547445.8199772,10976652.2133458
2020,1000,Kenya Intersectoral COVID-19 Response Plan 2020,Kenya,KEN,0,Total,In Need,inNeed,13840000,Total,Total,Plan Caselaod,,62447872,Other,254870684,1,254870684,62447872
2020,1000,Kenya Intersectoral COVID-19 Response Plan 2020,Kenya,KEN,0,Total,Targeted,target,9652000,Total,Total,Plan Caselaod,,62447872,Other,254870684,1,254870684,62447872
2020,1001,Tanzania Intersectoral COVID-19 Response Plan 2020,"Tanzania, United Republic of",TZA,0,Total,In Need,inNeed,11100000,Total,Total,Plan Caseload,,19017877,Other,158874105,1,158874105,19017877
2020,1001,Tanzania Intersectoral COVID-19 Response Plan 2020,"Tanzania, United Republic of",TZA,0,Total,Targeted,target,7450000,Total,Total,Plan Caseload,,19017877,Other,158874105,1,158874105,19017877
2020,1002,Zambia Intersectoral COVID-19 Response Plan 2020,Zambia,ZMB,0,Total,In Need,inNeed,9790000,Total,Total,Plan Caseload,,13196362,Other,125612928,1,125612928,13196362
2020,1002,Zambia Intersectoral COVID-19 Response Plan 2020,Zambia,ZMB,0,Total,Targeted,target,6100000,Total,Total,Plan Caseload,,13196362,Other,125612928,1,125612928,13196362
2020,1003,Djibouti Intersectoral COVID-19 Response Plan 2020,Djibouti,DJI,0,Total,In Need,inNeed,1150000,Total,Total,Plan Caseload,,6685207,Other,29983416,1,29983416,6685207
2020,1003,Djibouti Intersectoral COVID-19 Response Plan 2020,Djibouti,DJI,0,Total,Targeted,target,6e+05,Total,Total,Plan Caseload,,6685207,Other,29983416,1,29983416,6685207
2020,1004,Uganda Intersectoral COVID-19 Response Plan 2020,Uganda,UGA,0,Total,In Need,inNeed,13570000,Total,Total,Plan Caseload,,32588509,Other,200157127,1,200157127,32588509
2020,1004,Uganda Intersectoral COVID-19 Response Plan 2020,Uganda,UGA,0,Total,Targeted,target,11350000,Total,Total,Plan Caseload,,32588509,Other,200157127,1,200157127,32588509
2020,1005,Republic of Congo Intersectoral COVID-19 Response Plan 2020,Congo,COG,0,Total,In Need,inNeed,1700000,Total,Total,Plan Caseload,,1679525,Other,11989124,1,11989124,1679525
2020,1005,Republic of Congo Intersectoral COVID-19 Response Plan 2020,Congo,COG,0,Total,Targeted,target,4e+05,Total,Total,Plan Caseload,,1679525,Other,11989124,1,11989124,1679525
2020,1008,Regional Migrant Response Plan for the Horn of Africa and Yemen 2020,Djibouti; Yemen; Ethiopia; Somalia,DJI; YEM; ETH; SOM,0,Total,In Need,inNeed,2e+05,Total,Total,Plan Caseload,,14865390,Regional response plan,43340000,1,43340000,14865390
2020,1008,Regional Migrant Response Plan for the Horn of Africa and Yemen 2020,Djibouti; Yemen; Ethiopia; Somalia,DJI; YEM; ETH; SOM,0,Total,Targeted,target,2e+05,Total,Total,Plan Caseload,,14865390,Regional response plan,43340000,1,43340000,14865390
2020,1009,Lebanon Flash Appeal 2020,Lebanon,LBN,0,Total,In Need,inNeed,1e+06,Total,Total,Flash Appeal Caseload,,167109963,Flash appeal,196609142,1,196609142,167109963
2020,1009,Lebanon Flash Appeal 2020,Lebanon,LBN,0,Total,Targeted,target,3e+05,Total,Total,Flash Appeal Caseload,,167109963,Flash appeal,196609142,1,196609142,167109963
2020,1010,Jordan Intersectoral COVID-19 Response Plan 2020,Jordan,JOR,0,Total,In Need,inNeed,1400000,Total,Total,Plan caseload,,18304277,Other,52845731,1,52845731,18304277
2020,1010,Jordan Intersectoral COVID-19 Response Plan 2020,Jordan,JOR,0,Total,Targeted,target,980000,Total,Total,Plan caseload,,18304277,Other,52845731,1,52845731,18304277
2020,830,Ukraine 2020,Ukraine,UKR,0,Total,In Need,inNeed,3400000,Total,Total,Estimate,GHO 2020,122153695,Humanitarian response plan,204653234,1,204653234,122153695
2020,830,Ukraine 2020,Ukraine,UKR,0,Total,Targeted,target,2100000,Total,Total,Estimate,GHO 2020,122153695,Humanitarian response plan,204653234,1,204653234,122153695
