year,plan_id,plan_name,location,iso,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,type,revisedRequirements,gdp_defl,requirements_defl
2019,667,Somalia 2019,Somalia,SOM,0,Total,In Need,inNeed,4200000,Total,Total,Somalia Figures,Somalia GHO Input,Humanitarian response plan,1077453103,0.97857140694867,1101046990.89835
2019,667,Somalia 2019,Somalia,SOM,0,Total,Targeted,target,3400000,Total,Total,Somalia Figures,Somalia GHO Input,Humanitarian response plan,1077453103,0.97857140694867,1101046990.89835
2019,668,Chad 2019,Chad,TCD,0,Total,In Need,inNeed,4269261,Total,Total,Figures,OCHA Chad,Humanitarian response plan,476641195,0.97857140694867,487078604.193267
2019,668,Chad 2019,Chad,TCD,0,Total,Targeted,target,2003044,Total,Total,Figures,OCHA Chad,Humanitarian response plan,476641195,0.97857140694867,487078604.193267
2019,670,Sudan 2019,Sudan,SDN,0,Total,In Need,inNeed,5674216.36,Total,Total,SUDAN,SUDAN HRP 2019,Humanitarian response plan,1149289490,0.97857140694867,1174456439.08977
2019,670,Sudan 2019,Sudan,SDN,0,Total,Targeted,target,4392716,Total,Total,SUDAN,SUDAN HRP 2019,Humanitarian response plan,1149289490,0.97857140694867,1174456439.08977
2019,671,Iraq 2019,Iraq,IRQ,0,Total,In Need,inNeed,6650000,Total,Total,"",,Humanitarian response plan,701154139,0.97857140694867,716507895.10221
2019,671,Iraq 2019,Iraq,IRQ,0,Total,Targeted,target,1750000,Total,Total,"",,Humanitarian response plan,701154139,0.97857140694867,716507895.10221
2019,672,Afghanistan 2019,Afghanistan,AFG,0,Total,In Need,inNeed,6294000,Total,Total,Plan Caseload 2019,,Humanitarian response plan,611759986,0.97857140694867,625156203.8866
2019,672,Afghanistan 2019,Afghanistan,AFG,0,Total,Targeted,target,4490000,Total,Total,Plan Caseload 2019,,Humanitarian response plan,611759986,0.97857140694867,625156203.8866
2019,673,Democratic Republic of the Congo 2019,"Congo, The Democratic Republic of the",COD,0,Total,In Need,inNeed,12800000,Total,Total,BFP,,Humanitarian response plan,1653700000,0.97857140694867,1689912446.09985
2019,673,Democratic Republic of the Congo 2019,"Congo, The Democratic Republic of the",COD,0,Total,Targeted,target,9e+06,Total,Total,BFP,,Humanitarian response plan,1653700000,0.97857140694867,1689912446.09985
2019,674,Central African Republic 2019,Central African Republic,CAF,0,Total,In Need,inNeed,2900000,Total,Total,2019 Planning Figures for GHO,,Humanitarian response plan,430700000,0.97857140694867,440131396.586567
2019,674,Central African Republic 2019,Central African Republic,CAF,0,Total,Targeted,target,1700000,Total,Total,2019 Planning Figures for GHO,,Humanitarian response plan,430700000,0.97857140694867,440131396.586567
2019,675,Yemen 2019,Yemen,YEM,0,Total,Total In Need,inNeed,24100000,Total,Total,National PIN,,Humanitarian response plan,4192680354,0.97857140694867,4284490967.37191
2019,675,Yemen 2019,Yemen,YEM,0,Total,Targeted,target,21400000,Total,Total,National PIN,,Humanitarian response plan,4192680354,0.97857140694867,4284490967.37191
2019,676,Niger 2019,Niger,NER,0,Total,In Need,inNeed,2300000,Total,Total,figures,OCHA Niger,Humanitarian response plan,383101817,0.97857140694867,391490916.533693
2019,676,Niger 2019,Niger,NER,0,Total,Targeted,target,1600000,Total,Total,figures,OCHA Niger,Humanitarian response plan,383101817,0.97857140694867,391490916.533693
2019,677,Ethiopia 2019,Ethiopia,ETH,0,Total,In Need,inNeed,8864257,Total,Total,HRP 2019,CO,Humanitarian response plan,844548490,0.97857140694867,863042271.624742
2019,677,Ethiopia 2019,Ethiopia,ETH,0,Total,Targeted,target,8303796,Total,Total,HRP 2019,CO,Humanitarian response plan,844548490,0.97857140694867,863042271.624742
2019,678,Myanmar 2019,Myanmar,MMR,0,Total,In Need,inNeed,941000,Total,Total,National caseload,,Humanitarian response plan,214360000,0.97857140694867,219054019.438812
2019,678,Myanmar 2019,Myanmar,MMR,0,Total,Targeted,target,941000,Total,Total,National caseload,,Humanitarian response plan,214360000,0.97857140694867,219054019.438812
2019,679,Haiti 2019,Haiti,HTI,0,Total,In Need,inNeed,2600000,Total,Total,"",,Humanitarian response plan,126207627,0.97857140694867,128971300.514016
2019,679,Haiti 2019,Haiti,HTI,0,Total,Targeted,target,1300000,Total,Total,"",,Humanitarian response plan,126207627,0.97857140694867,128971300.514016
2019,712,Libya 2019,Libya,LBY,0,Total,In Need,inNeed,822890,Total,Total,Humanitarian profile,HNO,Humanitarian response plan,201624438,0.97857140694867,206039576.231534
2019,712,Libya 2019,Libya,LBY,0,Total,Targeted,target,552000,Total,Total,Humanitarian profile,HNO,Humanitarian response plan,201624438,0.97857140694867,206039576.231534
2019,713,South Sudan 2019,South Sudan,SSD,0,Total,In Need,inNeed,7207217,Total,Total,HNO data,HDX,Humanitarian response plan,1507421344,0.97857140694867,1540430604.54869
2019,713,South Sudan 2019,South Sudan,SSD,0,Total,Targeted,target,5690877,Total,Total,HNO data,HDX,Humanitarian response plan,1507421344,0.97857140694867,1540430604.54869
2019,714,Nigeria 2019,Nigeria,NGA,0,Total,In Need,inNeed,7124606,Total,Total,Humanitarian Profile,Nigeria 2019 HNO and HRP,Humanitarian response plan,847703581,0.97857140694867,866266452.279926
2019,714,Nigeria 2019,Nigeria,NGA,0,Total,Targeted,target,6200411,Total,Total,Humanitarian Profile,Nigeria 2019 HNO and HRP,Humanitarian response plan,847703581,0.97857140694867,866266452.279926
2019,716,Mali 2019,Mali,MLI,0,Total,In Need,inNeed,3200000,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali,Humanitarian response plan,323953738,0.97857140694867,331047622.789363
2019,716,Mali 2019,Mali,MLI,0,Total,Targeted,target,2300000,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali,Humanitarian response plan,323953738,0.97857140694867,331047622.789363
2019,717,DPR Korea Needs and Priorities 2019,"Korea, Democratic People's Republic of",PRK,0,Total,In Need,inNeed,10900000,Total,Total,National humanitarian profile,DPRK 2019 Needs and Priorities,Other,120345890,0.97857140694867,122981204.177277
2019,717,DPR Korea Needs and Priorities 2019,"Korea, Democratic People's Republic of",PRK,0,Total,Targeted,target,3800000,Total,Total,National humanitarian profile,DPRK 2019 Needs and Priorities,Other,120345890,0.97857140694867,122981204.177277
2019,718,Cameroon 2019,Cameroon,CMR,0,Total,In Need,inNeed,4300000,Total,Total,figures,OCHA Cameroon,Humanitarian response plan,298882369,0.97857140694867,305427245.142957
2019,718,Cameroon 2019,Cameroon,CMR,0,Total,Targeted,target,2300000,Total,Total,figures,OCHA Cameroon,Humanitarian response plan,298882369,0.97857140694867,305427245.142957
2019,719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),Bangladesh,BGD,0,Total,In Need,inNeed,1200000,Total,Total,Humanitarian profile,GHO 2019,Other,920461273,0.97857140694867,940617380.054189
2019,719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),Bangladesh,BGD,0,Total,Targeted,target,1200000,Total,Total,Humanitarian profile,GHO 2019,Other,920461273,0.97857140694867,940617380.054189
2019,720,Pakistan 2019,Pakistan,PAK,0,Total,In Need,inNeed,7900000,Total,Total,Overall Caseload,,Other,201961132,0.97857140694867,206383643.10045
2019,720,Pakistan 2019,Pakistan,PAK,0,Total,Targeted,target,3100000,Total,Total,Overall Caseload,,Other,201961132,0.97857140694867,206383643.10045
2019,721,Burundi 2019,Burundi,BDI,0,Total,In Need,inNeed,1769125,Total,Total,figures,OCHA Burundi,Humanitarian response plan,106286557,0.97857140694867,108614002.253977
2019,721,Burundi 2019,Burundi,BDI,0,Total,Targeted,target,711528,Total,Total,figures,OCHA Burundi,Humanitarian response plan,106286557,0.97857140694867,108614002.253977
2019,722,Zimbabwe Flash Appeal 2019 / 2020,Zimbabwe,ZWE,0,Total,In Need,inNeed,5300000,Total,Total,National PIN,Flash Appeal document,Flash appeal,467934732,0.97857140694867,478181488.522222
2019,722,Zimbabwe Flash Appeal 2019 / 2020,Zimbabwe,ZWE,0,Total,Targeted,target,2200000,Total,Total,National PIN,Flash Appeal document,Flash appeal,467934732,0.97857140694867,478181488.522222
2019,724,Syria Refugee Response and Resilience Plan (3RP) 2019,Egypt; Iraq; Jordan; Lebanon; Turkey,EGY; IRQ; JOR; LBN; TUR,0,Total,In Need,inNeed,5500000,Total,Total,Caseload estimate (late 2018),,Regional response plan,5534930515,0.97857140694867,5656133497.97204
2019,724,Syria Refugee Response and Resilience Plan (3RP) 2019,Egypt; Iraq; Jordan; Lebanon; Turkey,EGY; IRQ; JOR; LBN; TUR,0,Total,Targeted,target,5500000,Total,Total,Caseload estimate (late 2018),,Regional response plan,5534930515,0.97857140694867,5656133497.97204
2019,726,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),Brazil; Colombia; Ecuador; Aruba; Peru; Curaçao; Dominican Republic; Guyana; Trinidad and Tobago; Costa Rica; Mexico; Panama; Argentina; Chile; Uruguay; Paraguay,BRA; COL; ECU; ABW; PER; CUW; DOM; GUY; TTO; CRI; MEX; PAN; ARG; CHL; URY; PRY,0,Total,In Need,inNeed,3600000,Total,Total,Humanitarian profile,GHO 2019,Other,737611378,0.97857140694867,753763468.626149
2019,726,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),Brazil; Colombia; Ecuador; Aruba; Peru; Curaçao; Dominican Republic; Guyana; Trinidad and Tobago; Costa Rica; Mexico; Panama; Argentina; Chile; Uruguay; Paraguay,BRA; COL; ECU; ABW; PER; CUW; DOM; GUY; TTO; CRI; MEX; PAN; ARG; CHL; URY; PRY,0,Total,Targeted,target,2200000,Total,Total,Humanitarian profile,GHO 2019,Other,737611378,0.97857140694867,753763468.626149
2019,727,Madagascar Flash Appeal 2019,Madagascar,MDG,0,Total,In Need,inNeed,890000,Total,Total,National PIN,Flash Appeal document,Flash appeal,32438095,0.97857140694867,33148418.9806309
2019,727,Madagascar Flash Appeal 2019,Madagascar,MDG,0,Total,Targeted,target,460000,Total,Total,National PIN,Flash Appeal document,Flash appeal,32438095,0.97857140694867,33148418.9806309
2019,761,Mozambique Humanitarian Response Plan 2019,Mozambique,MOZ,0,Total,In Need,inNeed,2580000,Total,Total,Overall Caseload,,Humanitarian response plan,620547627,0.97857140694867,634136275.179917
2019,761,Mozambique Humanitarian Response Plan 2019,Mozambique,MOZ,0,Total,Targeted,target,2420000,Total,Total,Overall Caseload,,Humanitarian response plan,620547627,0.97857140694867,634136275.179917
2019,794,Burkina Faso 2019,Burkina Faso,BFA,0,Total,In Need,inNeed,1200000,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf,Other,186965134,0.97857140694867,191059265.243591
2019,794,Burkina Faso 2019,Burkina Faso,BFA,0,Total,Targeted,target,898000,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf,Other,186965134,0.97857140694867,191059265.243591
2019,827,Venezuela 2019,"Venezuela, Bolivarian Republic of",VEN,0,Total,In Need,inNeed,7037319,Total,Total,"",,Humanitarian response plan,222724387,0.97857140694867,227601568.386805
2019,827,Venezuela 2019,"Venezuela, Bolivarian Republic of",VEN,0,Total,Targeted,target,2662991,Total,Total,"",,Humanitarian response plan,222724387,0.97857140694867,227601568.386805
2019,829,Islamic Republic of Iran: Floods Response Plan (April 2019),"Iran, Islamic Republic of",IRN,0,Total,In Need,inNeed,2e+06,Total,Total,Plan caseload,Link,Other,2.5e+07,0.97857140694867,25547445.8199772
2019,829,Islamic Republic of Iran: Floods Response Plan (April 2019),"Iran, Islamic Republic of",IRN,0,Total,Targeted,target,115000,Total,Total,Plan caseload,Link,Other,2.5e+07,0.97857140694867,25547445.8199772
2020,1000,Kenya Intersectoral COVID-19 Response Plan 2020,Kenya,KEN,0,Total,In Need,inNeed,13840000,Total,Total,Plan Caselaod,,Other,254870684,1,254870684
2020,1000,Kenya Intersectoral COVID-19 Response Plan 2020,Kenya,KEN,0,Total,Targeted,target,9652000,Total,Total,Plan Caselaod,,Other,254870684,1,254870684
2020,1001,Tanzania Intersectoral COVID-19 Response Plan 2020,"Tanzania, United Republic of",TZA,0,Total,In Need,inNeed,11100000,Total,Total,Plan Caseload,,Other,158874105,1,158874105
2020,1001,Tanzania Intersectoral COVID-19 Response Plan 2020,"Tanzania, United Republic of",TZA,0,Total,Targeted,target,7450000,Total,Total,Plan Caseload,,Other,158874105,1,158874105
2020,1002,Zambia Intersectoral COVID-19 Response Plan 2020,Zambia,ZMB,0,Total,In Need,inNeed,9790000,Total,Total,Plan Caseload,,Other,125612928,1,125612928
2020,1002,Zambia Intersectoral COVID-19 Response Plan 2020,Zambia,ZMB,0,Total,Targeted,target,6100000,Total,Total,Plan Caseload,,Other,125612928,1,125612928
2020,1003,Djibouti Intersectoral COVID-19 Response Plan 2020,Djibouti,DJI,0,Total,In Need,inNeed,1150000,Total,Total,Plan Caseload,,Other,29983416,1,29983416
2020,1003,Djibouti Intersectoral COVID-19 Response Plan 2020,Djibouti,DJI,0,Total,Targeted,target,6e+05,Total,Total,Plan Caseload,,Other,29983416,1,29983416
2020,1004,Uganda Intersectoral COVID-19 Response Plan 2020,Uganda,UGA,0,Total,In Need,inNeed,13570000,Total,Total,Plan Caseload,,Other,200157127,1,200157127
2020,1004,Uganda Intersectoral COVID-19 Response Plan 2020,Uganda,UGA,0,Total,Targeted,target,11350000,Total,Total,Plan Caseload,,Other,200157127,1,200157127
2020,1005,Republic of Congo Intersectoral COVID-19 Response Plan 2020,Congo,COG,0,Total,In Need,inNeed,1700000,Total,Total,Plan Caseload,,Other,11989124,1,11989124
2020,1005,Republic of Congo Intersectoral COVID-19 Response Plan 2020,Congo,COG,0,Total,Targeted,target,4e+05,Total,Total,Plan Caseload,,Other,11989124,1,11989124
2020,1008,Regional Migrant Response Plan for the Horn of Africa and Yemen 2020,Djibouti; Yemen; Ethiopia; Somalia,DJI; YEM; ETH; SOM,0,Total,In Need,inNeed,2e+05,Total,Total,Plan Caseload,,Regional response plan,43340000,1,43340000
2020,1008,Regional Migrant Response Plan for the Horn of Africa and Yemen 2020,Djibouti; Yemen; Ethiopia; Somalia,DJI; YEM; ETH; SOM,0,Total,Targeted,target,2e+05,Total,Total,Plan Caseload,,Regional response plan,43340000,1,43340000
2020,1009,Lebanon Flash Appeal 2020,Lebanon,LBN,0,Total,In Need,inNeed,1e+06,Total,Total,Flash Appeal Caseload,,Flash appeal,196609142,1,196609142
2020,1009,Lebanon Flash Appeal 2020,Lebanon,LBN,0,Total,Targeted,target,3e+05,Total,Total,Flash Appeal Caseload,,Flash appeal,196609142,1,196609142
2020,1010,Jordan Intersectoral COVID-19 Response Plan 2020,Jordan,JOR,0,Total,In Need,inNeed,1400000,Total,Total,Plan caseload,,Other,52845731,1,52845731
2020,1010,Jordan Intersectoral COVID-19 Response Plan 2020,Jordan,JOR,0,Total,Targeted,target,980000,Total,Total,Plan caseload,,Other,52845731,1,52845731
2020,830,Ukraine 2020,Ukraine,UKR,0,Total,In Need,inNeed,3400000,Total,Total,Estimate,GHO 2020,Humanitarian response plan,204653234,1,204653234
2020,830,Ukraine 2020,Ukraine,UKR,0,Total,Targeted,target,2100000,Total,Total,Estimate,GHO 2020,Humanitarian response plan,204653234,1,204653234
2020,830,Ukraine 2020,Ukraine,UKR,0,Total,Expected Reach,expectedReach,1010000,Total,Total,Estimate,GHO 2020,Humanitarian response plan,204653234,1,204653234
2020,831,Somalia 2020,Somalia,SOM,0,Total,In Need,inNeed,5200000,Total,Total,HPC 2020,,Humanitarian response plan,1009926527,1,1009926527
2020,831,Somalia 2020,Somalia,SOM,0,Total,Targeted,target,3e+06,Total,Total,HPC 2020,,Humanitarian response plan,1009926527,1,1009926527
2020,831,Somalia 2020,Somalia,SOM,0,Total,Expected Reach,expectedReach,2300000,Total,Total,HPC 2020,,Humanitarian response plan,1009926527,1,1009926527
2020,832,occupied Palestinian territory 2020 (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,In Need,inNeed,2400000,Total,Total,Estimate,GHO - actual PIN 2.239m,Humanitarian response plan,420381684,1,420381684
2020,832,occupied Palestinian territory 2020 (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,Targeted,target,1500000,Total,Total,Estimate,GHO - actual PIN 2.239m,Humanitarian response plan,420381684,1,420381684
2020,832,occupied Palestinian territory 2020 (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,Expected Reach,expectedReach,1200000,Total,Total,Estimate,GHO - actual PIN 2.239m,Humanitarian response plan,420381684,1,420381684
2020,865,South Sudan 2020,South Sudan,SSD,0,Total,In Need,inNeed,7500000,Total,Total,HPC 2020,,Humanitarian response plan,1899937964,1,1899937964
2020,865,South Sudan 2020,South Sudan,SSD,0,Total,Targeted,target,7400000,Total,Total,HPC 2020,,Humanitarian response plan,1899937964,1,1899937964
2020,865,South Sudan 2020,South Sudan,SSD,0,Total,Expected Reach,expectedReach,6500000,Total,Total,HPC 2020,,Humanitarian response plan,1899937964,1,1899937964
2020,866,Iraq 2020,Iraq,IRQ,0,Total,In Need,inNeed,4100000,Total,Total,HPC 2020,,Humanitarian response plan,662168145,1,662168145
2020,866,Iraq 2020,Iraq,IRQ,0,Total,Targeted,target,1800000,Total,Total,HPC 2020,,Humanitarian response plan,662168145,1,662168145
2020,866,Iraq 2020,Iraq,IRQ,0,Total,Expected Reach,expectedReach,1400000,Total,Total,HPC 2020,,Humanitarian response plan,662168145,1,662168145
2020,869,Nigeria 2020,Nigeria,NGA,0,Total,In Need,inNeed,10600000,Total,Total,Estimate,GHO 2020,Humanitarian response plan,1080446613,1,1080446613
2020,869,Nigeria 2020,Nigeria,NGA,0,Total,Targeted,target,7800000,Total,Total,Estimate,GHO 2020,Humanitarian response plan,1080446613,1,1080446613
2020,869,Nigeria 2020,Nigeria,NGA,0,Total,Expected Reach,expectedReach,5700000,Total,Total,Estimate,GHO 2020,Humanitarian response plan,1080446613,1,1080446613
2020,870,Sudan 2020,Sudan,SDN,0,Total,In Need,inNeed,12200000,Total,Total,Total of COVID & Non-COVID,,Humanitarian response plan,1633403129,1,1633403129
