year,plan_id,plan_name,location,iso,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,type,revisedRequirements,gdp_defl,requirements_defl
2018,629,Syria Humanitarian Response Plan 2018,Syrian Arab Republic,SYR,0,Total,In need,inNeed,13100000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,3364410629,0.986341275239942,3411000546.62273
2018,629,Syria Humanitarian Response Plan 2018,Syrian Arab Republic,SYR,0,Total,Target,target,11200000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,3364410629,0.986341275239942,3411000546.62273
2018,633,occupied Palestinian territory 2018  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,In need,inNeed,2500000,Total,Total,Caseload,,Humanitarian response plan,539721755,0.986341275239942,547195751.154898
2018,633,occupied Palestinian territory 2018  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,Target,target,1900000,Total,Total,Caseload,,Humanitarian response plan,539721755,0.986341275239942,547195751.154898
2018,634,Iraq 2018,Iraq,IRQ,0,Total,In Need,inNeed,8700000,Total,Total,Key figures,IRAQ HRP 2018,Humanitarian response plan,568745625,0.986341275239942,576621539.904273
2018,634,Iraq 2018,Iraq,IRQ,0,Total,Target,target,3400000,Total,Total,Key figures,IRAQ HRP 2018,Humanitarian response plan,568745625,0.986341275239942,576621539.904273
2018,635,Sudan 2018,Sudan,SDN,0,Total,In need,inNeed,5500000,Total,Total,National PIN,Sudan Humanitarian Snapshot Dec 2018,Humanitarian response plan,1007555093,0.986341275239942,1021507583.9292
2018,635,Sudan 2018,Sudan,SDN,0,Total,Target,target,4300000,Total,Total,National PIN,Sudan Humanitarian Snapshot Dec 2018,Humanitarian response plan,1007555093,0.986341275239942,1021507583.9292
2018,636,Libya 2018,Libya,LBY,0,Total,In need,inNeed,1100000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,312740102,0.986341275239942,317070885.960766
2018,636,Libya 2018,Libya,LBY,0,Total,Target,target,940000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,312740102,0.986341275239942,317070885.960766
2018,637,Chad 2018,Chad,TCD,0,Total,In need,inNeed,4859413,Total,Total,Chad 2018 Caseload,HNO HRP 2018,Humanitarian response plan,543769241,0.986341275239942,551299286.210769
2018,637,Chad 2018,Chad,TCD,0,Total,Target,target,2142252,Total,Total,Chad 2018 Caseload,HNO HRP 2018,Humanitarian response plan,543769241,0.986341275239942,551299286.210769
2018,638,Mali 2018,Mali,MLI,0,Total,In Need,inNeed,4100000,Total,Total,Key figures,,Humanitarian response plan,329565482,0.986341275239942,334129261.618732
2018,638,Mali 2018,Mali,MLI,0,Total,Targeted,target,1560000,Total,Total,Key figures,,Humanitarian response plan,329565482,0.986341275239942,334129261.618732
2018,639,Burundi 2018,Burundi,BDI,0,Total,In need,inNeed,3602553,Total,Total,National PIN,,Humanitarian response plan,141814441,0.986341275239942,143778268.800017
2018,639,Burundi 2018,Burundi,BDI,0,Total,Target,target,2359782,Total,Total,National PIN,,Humanitarian response plan,141814441,0.986341275239942,143778268.800017
2018,640,Cameroon 2018,Cameroon,CMR,0,Total,In need,inNeed,3300000,Total,Total,Key figures,,Humanitarian response plan,319676453,0.986341275239942,324103290.64069
2018,640,Cameroon 2018,Cameroon,CMR,0,Total,Target,target,1300000,Total,Total,Key figures,,Humanitarian response plan,319676453,0.986341275239942,324103290.64069
2018,641,Ukraine Humanitarian Response Plan 2018,Ukraine,UKR,0,Total,In need,inNeed,3400000,Total,Total,Key figures,,Humanitarian response plan,186909122,0.986341275239942,189497415.034702
2018,641,Ukraine Humanitarian Response Plan 2018,Ukraine,UKR,0,Total,Target,target,2300000,Total,Total,Key figures,,Humanitarian response plan,186909122,0.986341275239942,189497415.034702
2018,642,Nigeria 2018,Nigeria,NGA,0,Total,In Need,inNeed,7700000,Total,Total,The number of people estimated to be in need and targeted for humanitarian assistance,Nigeria 2018 Humanitarian Response Plan,Humanitarian response plan,1047768587,0.986341275239942,1062277949.12579
2018,642,Nigeria 2018,Nigeria,NGA,0,Total,Targeted,target,6100000,Total,Total,The number of people estimated to be in need and targeted for humanitarian assistance,Nigeria 2018 Humanitarian Response Plan,Humanitarian response plan,1047768587,0.986341275239942,1062277949.12579
2018,643,Niger 2018,Niger,NER,0,Total,In need,inNeed,2449484,Total,Total,Caseload du Plan,,Humanitarian response plan,338303089,0.986341275239942,342987865.855764
2018,643,Niger 2018,Niger,NER,0,Total,Target,target,1783897,Total,Total,Caseload du Plan,,Humanitarian response plan,338303089,0.986341275239942,342987865.855764
2018,644,Somalia 2018,Somalia,SOM,0,Total,In need,inNeed,5400000,Total,Total,Key Figures,Somalia 2018 HRP,Humanitarian response plan,1542514570,0.986341275239942,1563875109.68226
2018,644,Somalia 2018,Somalia,SOM,0,Total,Target,target,4700000,Total,Total,Key Figures,Somalia 2018 HRP,Humanitarian response plan,1542514570,0.986341275239942,1563875109.68226
2018,645,Afghanistan 2018,Afghanistan,AFG,0,Total,Targeted,target,2774828,Total,Total,Overall PIN,2018 HRP,Humanitarian response plan,598923998,0.986341275239942,607217819.059943
2018,646,Republic of South Sudan 2018,South Sudan,SSD,0,Total,In Need,inNeed,7e+06,Total,Total,Key figures,HRP 2018,Humanitarian response plan,1717890485,0.986341275239942,1741679607.37737
2018,646,Republic of South Sudan 2018,South Sudan,SSD,0,Total,Target,target,6e+06,Total,Total,Key figures,HRP 2018,Humanitarian response plan,1717890485,0.986341275239942,1741679607.37737
2018,649,Haiti 2018,Haiti,HTI,0,Total,In Need,inNeed,2800000,Total,Total,Key figures,HRP 2018,Humanitarian response plan,252200142,0.986341275239942,255692576.525958
2018,649,Haiti 2018,Haiti,HTI,0,Total,Target,target,2200000,Total,Total,Key figures,HRP 2018,Humanitarian response plan,252200142,0.986341275239942,255692576.525958
2018,651,Central African Republic 2018,Central African Republic,CAF,0,Total,In Need,inNeed,2500000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,515600000,0.986341275239942,522739961.251822
2018,651,Central African Republic 2018,Central African Republic,CAF,0,Total,Target,target,1900000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,515600000,0.986341275239942,522739961.251822
2018,652,Democratic Republic of the Congo 2018,"Congo, The Democratic Republic of the",COD,0,Total,In Need,inNeed,13100000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,1675200000,0.986341275239942,1698397950.13393
2018,652,Democratic Republic of the Congo 2018,"Congo, The Democratic Republic of the",COD,0,Total,Target,target,10500000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,1675200000,0.986341275239942,1698397950.13393
2018,655,Myanmar 2018,Myanmar,MMR,0,Total,In Need,inNeed,863000,Total,Total,Key figures,HRP 2018,Humanitarian response plan,183400000,0.986341275239942,185939699.172972
2018,655,Myanmar 2018,Myanmar,MMR,0,Total,Target,target,832000,Total,Total,Key figures,HRP 2018,Humanitarian response plan,183400000,0.986341275239942,185939699.172972
2018,657,Yemen 2018,Yemen,YEM,0,Total,In Need,inNeed,22200000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,3108067800,0.986341275239942,3151107915.70992
2018,657,Yemen 2018,Yemen,YEM,0,Total,Target,target,13100000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,3108067800,0.986341275239942,3151107915.70992
2018,658,Syria regional refugee and resilience plan (3RP) 2018,Jordan; Iraq; Turkey; Egypt; Lebanon,JOR; IRQ; TUR; EGY; LBN,0,Total,In Need,inNeed,5300000,Total,Total,3RP PIN,GHO 2018,Regional response plan,5608951510,0.986341275239942,5686623535.68803
2018,658,Syria regional refugee and resilience plan (3RP) 2018,Jordan; Iraq; Turkey; Egypt; Lebanon,JOR; IRQ; TUR; EGY; LBN,0,Total,Target,target,5300000,Total,Total,3RP PIN,GHO 2018,Regional response plan,5608951510,0.986341275239942,5686623535.68803
2018,660,Ethiopia Humanitarian and Disaster Resilience Plan 2018,Ethiopia,ETH,0,Total,In Need,inNeed,7900000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,1177218620,0.986341275239942,1193520589.22367
2018,660,Ethiopia Humanitarian and Disaster Resilience Plan 2018,Ethiopia,ETH,0,Total,Target,target,7900000,Total,Total,National PIN,GHO June Status Report,Humanitarian response plan,1177218620,0.986341275239942,1193520589.22367
2019,662,Ukraine Humanitarian Response Plan (HRP) 2019,Ukraine,UKR,0,Total,In Need,inNeed,3500000,Total,Total,"",,Humanitarian response plan,164402538,0.97857140694867,168002597.28887
2019,662,Ukraine Humanitarian Response Plan (HRP) 2019,Ukraine,UKR,0,Total,Targeted,target,2300000,Total,Total,"",,Humanitarian response plan,164402538,0.97857140694867,168002597.28887
2019,663,Syria Humanitarian Response Plan 2019,Syrian Arab Republic,SYR,0,Total,In Need,inNeed,11708496,Total,Total,National PIN,HRP Summary,Humanitarian response plan,3293416196,0.97857140694867,3365534873.19781
2019,663,Syria Humanitarian Response Plan 2019,Syrian Arab Republic,SYR,0,Total,Targeted,target,11708496,Total,Total,National PIN,HRP Summary,Humanitarian response plan,3293416196,0.97857140694867,3365534873.19781
2019,664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,In Need,inNeed,2500000,Total,Total,People targeted,,Humanitarian response plan,350589271,0.97857140694867,358266416.237512
2019,664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),occupied Palestinian territory,PSE,0,Total,Targeted,target,1400000,Total,Total,People targeted,,Humanitarian response plan,350589271,0.97857140694867,358266416.237512
