year,plan_id,plan_name,requirements_defl,funding_defl
2018,629,Syria Humanitarian Response Plan 2018,3411000546.62273,2133001971.84611
2018,633,occupied Palestinian territory 2018  (part of 2018-2020 HRP),547195751.154898,242997839.608501
2018,634,Iraq 2018,576621539.904273,564584715.22905
2018,635,Sudan 2018,1021507583.9292,620576150.836938
2018,637,Chad 2018,551299286.210769,252882776.237183
2018,638,Mali 2018,334129261.618732,181465588.527114
2018,640,Cameroon 2018,324103290.64069,146309405.905065
2018,641,Ukraine Humanitarian Response Plan 2018,189497415.034702,71753087.6752404
2018,642,Nigeria 2018,1062277949.12579,730158959.255562
2018,643,Niger 2018,342987865.855764,182026151.096966
2018,644,Somalia 2018,1563875109.68226,938512956.151826
2018,645,Afghanistan 2018,607217819.059943,474563040.957738
2018,646,Republic of South Sudan 2018,1741679607.37737,1223729100.97104
2018,648,Pakistan Transition Plan: Humanitarian Component 2018,124707605.863982,77093529.2974554
2018,651,Central African Republic 2018,522739961.251822,284280215.214343
2018,652,Democratic Republic of the Congo 2018,1698397950.13393,829771509.664242
2018,653,Burkina Faso 2018,91541449.4623429,56792628.8863589
2018,655,Myanmar 2018,185939699.172972,139931591.087907
2018,657,Yemen 2018,3151107915.70992,2545790939.74259
2018,658,Syria regional refugee and resilience plan (3RP) 2018,5686623535.68803,3026817473.7732
2018,660,Ethiopia Humanitarian and Disaster Resilience Plan 2018,1193520589.22367,664952801.291267
2018,661,Mauritania 2018,117606352.80297,72330146.5637692
2018,636,Libya 2018,317070885.960766,79280438.6909362
2018,639,Burundi 2018,143778268.800017,82844161.6012898
2018,649,Haiti 2018,255692576.525958,30012736.7100182
2018,654,Senegal 2018,17066125.5110764,7644572.10630849
2018,656,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,964001232.503117,697663402.388389
2018,659,DPR Korea Needs and Priorities 2018,112757118.445586,32966443.5791658
2018,665,Philippines: Marawi Conflict 2018,61848929.5048105,14872702.1450374
2018,669,Indonesia: Central Sulawesi Earthquake Response Plan 2018,51199317.3840516,31117008.6565968
2019,662,Ukraine Humanitarian Response Plan (HRP) 2019,168002597.28887,88500994.8022554
2019,663,Syria Humanitarian Response Plan 2019,3365534873.19781,2142233885.14555
2019,664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),358266416.237512,282915699.390062
2019,667,Somalia 2019,1101046990.89835,917536257.062431
2019,668,Chad 2019,487078604.193267,283647760.428136
2019,670,Sudan 2019,1174456439.08977,615729788.057874
2019,671,Iraq 2019,716507895.10221,703744330.878577
2019,672,Afghanistan 2019,625156203.8866,476940112.582383
2019,673,Democratic Republic of the Congo 2019,1689912446.09985,749054919.033056
