year,plan_id,plan_name,requirements_defl,funding_defl
2019,674,Central African Republic 2019,440131396.586567,309464871.801517
2019,675,Yemen 2019,4284490967.37191,3715190954.06259
2019,677,Ethiopia 2019,863042271.624742,655341223.385693
2019,678,Myanmar 2019,219054019.438812,185844503.230554
2019,679,Haiti 2019,128971300.514016,41728522.5278833
2019,713,South Sudan 2019,1540430604.54869,1162567266.85626
2019,714,Nigeria 2019,866266452.279926,645615241.272975
2019,716,Mali 2019,331047622.789363,169709943.311997
2019,720,Pakistan 2019,206383643.10045,59602344.3826817
2019,721,Burundi 2019,108614002.253977,76468034.3903867
2019,724,Syria Refugee Response and Resilience Plan (3RP) 2019,5656133497.97204,2403335326.68134
2019,726,Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),753763468.626149,411848277.129499
2019,727,Madagascar Flash Appeal 2019,33148418.9806309,30182717.1632752
2019,794,Burkina Faso 2019,191059265.243591,98440501.4452389
2019,827,Venezuela 2019,227601568.386805,77036635.7168193
2019,676,Niger 2019,391490916.533693,225927151.999442
2019,712,Libya 2019,206039576.231534,102032023.714379
2019,718,Cameroon 2019,305427245.142957,132972726.441848
2019,717,DPR Korea Needs and Priorities 2019,122981204.177277,41545943.1077905
2019,829,Islamic Republic of Iran: Floods Response Plan (April 2019),25547445.8199772,10976652.2133458
2019,719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),940617380.054189,707021049.345141
2019,722,Zimbabwe Flash Appeal 2019 / 2020,478181488.522222,248913657.470861
2019,761,Mozambique Humanitarian Response Plan 2019,634136275.179917,321256385.346736
2020,830,Ukraine 2020,204653234,122153695
2020,831,Somalia 2020,1009926527,805240341
2020,832,occupied Palestinian territory 2020 (part of 2018-2020 HRP),420381684,300548783
2020,865,South Sudan 2020,1900799964,1220363889
2020,866,Iraq 2020,770738746,612480859
2020,869,Nigeria 2020,1080446613,624609393
2020,870,Sudan 2020,1633403129,862930164
2020,908,Niger 2020,516074957,376204982
2020,913,Mali 2020,474292180,229306606
2020,919,Democratic Republic of the Congo 2020,2069134820,826541249
2020,923,Central African Republic 2020,553622290,373180721
2020,924,Syria Humanitarian Response Plan 2020,3817532832,2238078532
2020,925,Yemen 2020,3382681703,1999842954
2020,927,Cameroon 2020,390811257,189691506
2020,928,Venezuela 2020,762509363,181518715
2020,929,Afghanistan 2020,1131050820,589045199
2020,930,Burkina Faso 2020,424357861,259900156
2020,931,Libya 2020,145617575,138095190
2020,934,Myanmar 2020,275300000,186456157
2020,936,Ethiopia 2020,1250804122,723541228
2020,939,Djibouti Flash Appeal 2019 - 2020,14251896,3862923
2020,943,Syria Refugee Response and Resilience Plan (3RP) 2020,5995975760,2339100399
2020,944,Refugee and Migrant Response Plan 2020 for Refugees and Migrants from Venezuela (RMRP,1407580167,664101619
2020,947,South Sudan Regional Refugee Response Plan 2020,1022278736,103409297
2020,950,Colombia 2020,209700000,31829031
2020,952,COVID-19 Global Humanitarian Response Plan,9501285986,3804054627
2020,985,Colombia Intersectoral COVID-19 Response Plan 2020,283920647,34750996
2020,988,Lebanon Intersectoral COVID Response Plan 2020,136500000,118524688
2020,991,Pakistan Intersectoral COVID Response Plan 2020,145788878,89255809
2020,1006,Page not found,0,0
2020,1007,Page not found,0,0
2020,996,Page not found,0,0
2020,1008,Regional Migrant Response Plan for the Horn of Africa and Yemen 2020,46137403,14865390
2020,1009,Lebanon Flash Appeal 2020,196609142,167109963
2020,1010,Jordan Intersectoral COVID-19 Response Plan 2020,52845731,18304277
2020,906,Bangladesh: 2020 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),1058092856,627912233
2020,920,Haiti 2020,471993035,154792606
2020,921,Zimbabwe 2020,800770933,210030276
2020,922,Burundi 2020,197893000,88949287
2020,935,DPR Korea Needs and Priorities 2020,1.07e+08,31589615
2020,937,Zambia 2019 - 2020,89537019,27969390
2020,907,Chad 2020,664641160,289768135
2020,945,Burundi Regional Refugee Response Plan 2020,267587482,46746126
2020,946,Democratic Republic of Congo Regional Refugee Response Plan 2020,587387937,40700535
2020,948,Lesotho Flash Appeal 2019-2020,33745000,13733857
2020,986,Benin Intersectoral COVID Response Plan 2020,17930000,3346554
2020,987,Iran Intersectoral COVID Response Plan 2020,117284681,74082356
2020,990,Mozambique COVID-19 2020,68105000,61669539
2020,989,Liberia Intersectoral COVID Response Plan 2020,5.7e+07,7507918
2020,992,Philippines Intersectoral COVID Response Plan 2020,121767344,20562507
2020,993,Sierra Leone Intersectoral COVID Response Plan 2020,62907725,20093035
2020,994,Togo Intersectoral COVID Response Plan 2020,19757534,5190103
2020,995,DPR Korea Intersectoral COVID Response Plan 2020,39692162,3501684
2020,998,Bangladesh Intersectoral COVID-19 Response Plan 2020,205934700,54099523
2020,999,Ecuador Intersectoral COVID-19 Response Plan 2020,46425000,19852674
2020,997,Cabo Delgado Province Mozambique Rapid Response Plan 2020,52136553,52136553
2020,1000,Kenya Intersectoral COVID-19 Response Plan 2020,254870684,62447872
2020,1001,Tanzania Intersectoral COVID-19 Response Plan 2020,158874105,19017877
2020,1002,Zambia Intersectoral COVID-19 Response Plan 2020,125612928,13196362
2020,1003,Djibouti Intersectoral COVID-19 Response Plan 2020,29983416,6685207
2020,1004,Uganda Intersectoral COVID-19 Response Plan 2020,200157127,32588509
2020,1005,Republic of Congo Intersectoral COVID-19 Response Plan 2020,11989124,1679525
2021,1011,Somalia Humanitarian Response Plan 2021,1038263389.03262,741704193.740713
2021,1012,occupied Palestinian territory 2021,396974808.682433,343457615.359387
2021,1013,South Sudan Humanitarian Response Plan 2021,1595032665.81917,1091690881.46575
2021,1014,Sudan Humanitarian Response Plan 2021,1844152033.79857,682940126.760407
2021,1015,Ukraine Humanitarian Response Plan 2021,159698768.394707,98081848.2425272
2021,1016,Colombia Plan de Respuesta Humanitario 2021,165428908.282041,79728311.6680198
2021,1019,South Sudan Regional Refugee Response Plan 2021,824156200.479186,133628453.086191
2021,1020,Syria Refugee Response and Resilience Plan (3RP) 2021,5545093488.35669,1581350750.33628
2021,1021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),1368257915.57717,559294465.120494
2021,1024,Yemen Humanitarian Response Plan 2021,3663421455.80492,2215152470.25714
2021,1025,République Centrafricaine Plan de Réponse Humanitaire 2021,422826459.889951,374614771.792337
2021,1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,1886446490.14171,738074882.273253
2021,1029,Venezuela Plan de Respuesta Humanitario 2021,673177904.586963,247873082.330518
2021,1030,Cameroon Humanitarian Response Plan  2021,343724100.794555,174860761.870697
2021,1031,Afghanistan Humanitarian Response Plan 2021,825827803.381474,750105619.360699
2021,1032,Nigeria Humanitarian Response Plan 2021,956729599.064157,666606739.712232
2021,1033,Niger Plan de Réponse Humanitaire 2021,497381880.172293,214093497.745243
2021,1034,Pakistan Humanitarian Response Plan 2021,315668306.474514,100145843.340246
2021,1035,Iraq Humanitarian Response Plan 2021,577252618.64598,360901228.935882
2021,1036,Mali Plan de Réponse Humanitaire 2021,535508122.856742,205126905.371994
2021,1037,Burkina Faso Plan de Réponse Humanitaire 2021,577898219.966856,249955731.760452
2021,1038,Regional Migrant Humanitarian Response Plan for the Horn of Africa and Yemen 2021,64830925.0745294,21018849.1561392
2021,1039,Burundi Plan de Réponse Humanitaire 2021,185083070.683549,68001715.6800327
2021,1041,Ethiopia Humanitarian Response Plan 2021,1414644449.05624,645403264.764677
2021,1042,Zimbabwe Humanitarian Response Plan 2021,481969934.616122,90057770.2349894
2021,1043,Haiti Plan de Réponse Humanitaire 2021,223976685.020667,61786969.0974095
2021,1044,Syria Humanitarian Response Plan 2021,4016087685.95791,1870363715.89948
2021,1046,Myanmar Humanitarian Response Plan 2021,262822389.609952,201476823.348514
2021,1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,90374039.2172358,58082073.4549038
2021,1050,Lebanon Emergency Response Plan 2021,159692877.953243,66316738.5475137
2021,1051,Myanmar Interim Emergency Response Plan 2021,103778461.288566,17374364.7632821
2021,1052,Guatemala Plan de Respuesta Humanitario 2021,53515774.9016995,31705990.4256666
2021,1055,Northern Ethiopia Response Plan 2021,909759480.269377,646058330.150236
2021,1057,Afghanistan Flash Appeal 2021,949583786.259158,949583786.259158
2021,1073,Kenya Drought Flash Appeal 2021,132619106.547389,14452766.6410055
2021,1017,Burundi Regional Refugee Response Plan 2021,181265767.050687,18434929.4321463
2021,1018,Democratic Republic of Congo Regional Refugee Response Plan 2021,507968934.323215,15832950.5044658
2021,1027,Libya Humanitarian Response Plan 2021,179795481.108437,136657621.165155
2021,1023,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,896612796.384682,641230569.579019
2021,1040,Mozambique Humanitarian Response Plan 2021,241550268.583187,161159402.036734
2021,1028,Tchad Plan de Réponse Humanitaire 2021,587069010.82501,183903510.73109
2021,1045,Honduras Flash Appeal 2020-2021,85647027.4410699,76507554.9840048
2021,1054,El Salvador Plan de Respuesta Humanitario 2021,40077721.4137732,21148967.4489538
2021,1053,Honduras Plan de Respuesta Humanitario 2021,75011942.8053769,20271036.8873757
2021,1047,Madagascar's Grand Sud Flash Appeal 2021,157993136.689682,120600593.361871
2021,1048,Nepal Covid-19 Response Plan 2021,79497432.2212552,5281219.98863571
2021,1056,Haiti Flash Appeal 2021,178058462.553036,76608640.321386
