year,appeal_id,Global cluster,plan_name,Current requirements US$,Funding_fts
2018,629,Camp Coordination / Management,Syria Humanitarian Response Plan 2018,42242846,13264252
2018,629,Coordination and support services,Syria Humanitarian Response Plan 2018,57984320,30614888
2018,629,Early Recovery,Syria Humanitarian Response Plan 2018,186106783,67292769.3333333
2018,629,Education,Syria Humanitarian Response Plan 2018,240273875,130547339
2018,629,Emergency Shelter and NFI,Syria Humanitarian Response Plan 2018,519656786,198849555.5
2018,629,Emergency Telecommunications,Syria Humanitarian Response Plan 2018,831423,206087
2018,629,Food Security,Syria Humanitarian Response Plan 2018,1216851061,556288081
2018,629,Health,Syria Humanitarian Response Plan 2018,436624470,216599748.833333
2018,629,Logistics,Syria Humanitarian Response Plan 2018,12250881,7596696
2018,629,Multi-sector,Syria Humanitarian Response Plan 2018,0,24988332
2018,629,Nutrition,Syria Humanitarian Response Plan 2018,74060307,38681678
2018,629,Protection,Syria Humanitarian Response Plan 2018,315959812,110344023.833333
2018,629,Unspecified,Syria Humanitarian Response Plan 2018,0,8307408
2018,629,Water Sanitation Hygiene,Syria Humanitarian Response Plan 2018,261568065,95711395.5
2018,633,Coordination and support services,occupied Palestinian territory 2018  (part of 2018-2020 HRP),27150327,7731801
2018,633,Education,occupied Palestinian territory 2018  (part of 2018-2020 HRP),20325652,3828880
2018,633,Emergency Shelter and NFI,occupied Palestinian territory 2018  (part of 2018-2020 HRP),89992089,11982669
2018,633,Food Security,occupied Palestinian territory 2018  (part of 2018-2020 HRP),288892657,112975729
2018,633,Health,occupied Palestinian territory 2018  (part of 2018-2020 HRP),26974067,21083754
2018,633,Protection,occupied Palestinian territory 2018  (part of 2018-2020 HRP),40888031,18524160
2018,633,Unspecified,occupied Palestinian territory 2018  (part of 2018-2020 HRP),0,41485958
2018,633,Water Sanitation Hygiene,occupied Palestinian territory 2018  (part of 2018-2020 HRP),45498932,11905317
2018,634,Camp Coordination / Management,Iraq 2018,25039043,13528010.5
2018,634,Coordination and support services,Iraq 2018,16944505,12957294
2018,634,Early Recovery,Iraq 2018,3499826,1525346.5
2018,634,Education,Iraq 2018,38010386,42750448.5
2018,634,Emergency Shelter and NFI,Iraq 2018,63381024,37626293.1666667
2018,634,Food Security,Iraq 2018,150034721,65783127.3333333
2018,634,Health,Iraq 2018,67384095,75735562.8333333
2018,634,Logistics,Iraq 2018,2500000,7423522
2018,634,Multi-sector,Iraq 2018,66951760,56869087
2018,634,Protection,Iraq 2018,6.5e+07,77155659
2018,634,Unspecified,Iraq 2018,0,112360160
2018,634,Water Sanitation Hygiene,Iraq 2018,70000265,51658703.1666667
2018,635,Coordination and support services,Sudan 2018,12718875,6933030
2018,635,Early Recovery,Sudan 2018,37805525,2752419
2018,635,Education,Sudan 2018,40720018,24043664
2018,635,Emergency Shelter and NFI,Sudan 2018,22634739,2282330.66666667
2018,635,Food Security,Sudan 2018,186880981,171155707
2018,635,Health,Sudan 2018,73358774,31125620.5
2018,635,Logistics,Sudan 2018,26263967,10850567
2018,635,Multi-sector,Sudan 2018,417192644,99655053
2018,635,Nutrition,Sudan 2018,81705484,57170133.8333333
2018,635,Protection,Sudan 2018,44480348,4514901.33333333
2018,635,Unspecified,Sudan 2018,0,177382470
2018,635,Water Sanitation Hygiene,Sudan 2018,63793738,24233975.6666667
2018,636,Coordination and support services,Libya 2018,15911044,2367726
2018,636,Education,Libya 2018,5977399,19702
2018,636,Emergency Shelter and NFI,Libya 2018,36793081,1915501
2018,636,Food Security,Libya 2018,26415323,5189839
2018,636,Health,Libya 2018,32929556,10353591
2018,636,Multi-sector,Libya 2018,145842565,3498162
2018,636,Protection,Libya 2018,43844412,4389592
2018,636,Unspecified,Libya 2018,0,48991739
2018,636,Water Sanitation Hygiene,Libya 2018,5026722,1471717
2018,637,Coordination and support services,Chad 2018,19756477,2548464
2018,637,Education,Chad 2018,19344607,3596388
2018,637,Emergency Shelter and NFI,Chad 2018,9298986,1911432.75
2018,637,Food Security,Chad 2018,220531490,130213808.75
2018,637,Health,Chad 2018,29590200,6182394.5
2018,637,Multi-sector,Chad 2018,143350086,14168557
2018,637,Nutrition,Chad 2018,61971707,44441385
2018,637,Protection,Chad 2018,20683389,4583635.25
2018,637,Unspecified,Chad 2018,0,31942212
2018,637,Water Sanitation Hygiene,Chad 2018,19242299,1501469.75
2018,638,Coordination and support services,Mali 2018,12065011,6441200
2018,638,Education,Mali 2018,22105710,13493450
2018,638,Emergency Shelter and NFI,Mali 2018,4262626,1540092
2018,638,Food Security,Mali 2018,159356074,78433440.5
2018,638,Health,Mali 2018,20429593,11843219.5
2018,638,Multi-sector,Mali 2018,0,
2018,638,Nutrition,Mali 2018,55114755,38928518
2018,638,Protection,Mali 2018,29157572,6056806
2018,638,Unspecified,Mali 2018,0,10340223
2018,638,Water Sanitation Hygiene,Mali 2018,27074141,11710051
2018,639,Coordination and support services,Burundi 2018,7268346,1497716
2018,639,Education,Burundi 2018,4500000,1948252
2018,639,Emergency Shelter and NFI,Burundi 2018,17527500,4847468.5
2018,639,Food Security,Burundi 2018,23840000,27765397.3333333
2018,639,Health,Burundi 2018,15100000,551709.5
2018,639,Multi-sector,Burundi 2018,30924595,1641380
2018,639,Nutrition,Burundi 2018,1.8e+07,6633061.83333333
2018,639,Protection,Burundi 2018,15654000,7363290
2018,639,Unspecified,Burundi 2018,0,27295215
2018,639,Water Sanitation Hygiene,Burundi 2018,9e+06,1819125.83333333
2018,640,Coordination and support services,Cameroon 2018,7544291,4157085
2018,640,Early Recovery,Cameroon 2018,31411001,9488818.5
2018,640,Education,Cameroon 2018,17158368,3174681
2018,640,Emergency Shelter and NFI,Cameroon 2018,11922114,3257563
2018,640,Food Security,Cameroon 2018,68641642,50530905.5
2018,640,Health,Cameroon 2018,15731189,5926758
2018,640,Multi-sector,Cameroon 2018,94357546,9282291.5
2018,640,Nutrition,Cameroon 2018,22397788,8278811
2018,640,Protection,Cameroon 2018,26243866,12287757.5
2018,640,Unspecified,Cameroon 2018,0,29103087
2018,640,Water Sanitation Hygiene,Cameroon 2018,24268648,8383199
2018,641,Coordination and support services,Ukraine Humanitarian Response Plan 2018,5136211,2863539
2018,641,Education,Ukraine Humanitarian Response Plan 2018,11048205,3147544.33333333
2018,641,Emergency Shelter and NFI,Ukraine Humanitarian Response Plan 2018,31726780,10804626.3333333
2018,641,Food Security,Ukraine Humanitarian Response Plan 2018,38370377,5557299.16666667
2018,641,Health,Ukraine Humanitarian Response Plan 2018,21131004,7786662
2018,641,Multi-sector,Ukraine Humanitarian Response Plan 2018,0,2204341
2018,641,Other,Ukraine Humanitarian Response Plan 2018,6474184,
2018,641,Protection,Ukraine Humanitarian Response Plan 2018,43126753,16002739.3333333
2018,641,Unspecified,Ukraine Humanitarian Response Plan 2018,0,16344793
2018,641,Water Sanitation Hygiene,Ukraine Humanitarian Response Plan 2018,29895608,5578568.33333333
2018,642,Camp Coordination / Management,Nigeria 2018,18520869,12924185
2018,642,Coordination and support services,Nigeria 2018,18167692,13431638
2018,642,Early Recovery,Nigeria 2018,30705111,7602303
2018,642,Education,Nigeria 2018,60853026,13695588
2018,642,Emergency Shelter and NFI,Nigeria 2018,67356321,15235406.3333333
2018,642,Emergency Telecommunications,Nigeria 2018,4440110,1610600
2018,642,Food Security,Nigeria 2018,435080206,345694990.833333
2018,642,Health,Nigeria 2018,109571527,51224661
2018,642,Logistics,Nigeria 2018,33618301,32220773
