Year,iso3,RecipientName,ha_total,ha_rank
2018,ALB,Albania,5.551118,88
2019,ALB,Albania,8.366863,84
2020,ALB,Albania,76.694697,37
2018,DZA,Algeria,24.297834,52
2019,DZA,Algeria,23.23482,54
2020,DZA,Algeria,21.027347,62
2018,AGO,Angola,16.633501,59
2019,AGO,Angola,19.912835,62
2020,AGO,Angola,15.963483,74
2018,ATG,Antigua and Barbuda,2.753368,99
2019,ATG,Antigua and Barbuda,4.926313,95
2020,ATG,Antigua and Barbuda,3.275082,114
2018,ARG,Argentina,0.077064,137
2019,ARG,Argentina,0.690652,123
2020,ARG,Argentina,9.791858,88
2018,ARM,Armenia,1.860088,110
2019,ARM,Armenia,1.454282,114
2020,ARM,Armenia,7.899716,99
2018,AZE,Azerbaijan,2.15953,104
2019,AZE,Azerbaijan,2.560417,109
2020,AZE,Azerbaijan,9.545129,89
2018,BLR,Belarus,1.025659,118
2019,BLR,Belarus,0.86061,121
2020,BLR,Belarus,15.818453,75
2018,BLZ,Belize,0.147691,134
2019,BLZ,Belize,0.664863,124
2020,BLZ,Belize,0.841889,129
2018,BEN,Benin,1.912155,109
2019,BEN,Benin,3.67544,100
2020,BEN,Benin,7.66297,100
2018,BTN,Bhutan,1.380972,113
2019,BTN,Bhutan,9.581736,79
2020,BTN,Bhutan,1.421703,126
2018,BOL,Bolivia,4.001551,95
2019,BOL,Bolivia,7.562952,85
2020,BOL,Bolivia,5.96363,104
2018,BIH,Bosnia and Herzegovina,38.521909,44
2019,BIH,Bosnia and Herzegovina,28.474002,49
2020,BIH,Bosnia and Herzegovina,38.365689,51
2018,BWA,Botswana,2.233633,103
2019,BWA,Botswana,1.67731,113
2020,BWA,Botswana,3.13666,115
2018,BRA,Brazil,7.590234,81
2019,BRA,Brazil,16.960203,65
2020,BRA,Brazil,18.053378,71
2018,BFA,Burkina Faso,141.309719,26
2019,BFA,Burkina Faso,88.3695670000001,34
2020,BFA,Burkina Faso,193.763428,26
2018,BDI,Burundi,66.282653,36
2019,BDI,Burundi,63.753551,38
2020,BDI,Burundi,67.794354,40
2018,CPV,Cabo Verde,0.307105,129
2019,CPV,Cabo Verde,0.264627,130
2020,CPV,Cabo Verde,5.010645,108
2018,KHM,Cambodia,3.568177,96
2019,KHM,Cambodia,2.727535,108
2020,KHM,Cambodia,4.858697,109
2018,CMR,Cameroon,113.096569,29
2019,CMR,Cameroon,128.914225,30
2020,CMR,Cameroon,185.364241,28
2019,TCD,Chad,182.898114,24
2020,TCD,Chad,201.27126,23
2018,CHN,China (People's Republic of),5.666363,87
2019,CHN,China (People's Republic of),10.930738,75
2020,CHN,China (People's Republic of),40.309134,50
2018,COL,Colombia,87.4705780000001,33
2019,COL,Colombia,184.563462,23
2018,COM,Comoros,3.117752,98
2019,COM,Comoros,19.884768,63
2020,COM,Comoros,13.160559,80
2018,COG,Congo,12.589928,66
2019,COG,Congo,23.346445,53
2020,COG,Congo,22.683676,61
2018,COK,Cook Islands,0.287426,130
2018,CRI,Costa Rica,2.679358,100
2019,CRI,Costa Rica,4.68887,96
2020,CRI,Costa Rica,8.113611,97
2018,CUB,Cuba,12.092555,71
2019,CUB,Cuba,3.260023,101
2020,CUB,Cuba,6.539079,101
2018,CIV,Côte d'Ivoire,41.103689,41
2019,CIV,Côte d'Ivoire,25.080112,52
2020,CIV,Côte d'Ivoire,19.162906,68
2018,PRK,Democratic People's Republic of Korea,30.696166,47
2019,PRK,Democratic People's Republic of Korea,30.885117,47
2020,PRK,Democratic People's Republic of Korea,22.713394,60
2018,DJI,Djibouti,12.421809,69
2019,DJI,Djibouti,22.606475,56
2020,DJI,Djibouti,16.126764,73
2018,DMA,Dominica,12.586933,67
2019,DMA,Dominica,5.131961,94
2020,DMA,Dominica,5.650081,106
2018,DOM,Dominican Republic,5.694315,86
2019,DOM,Dominican Republic,5.259287,93
2020,DOM,Dominican Republic,2.76428,118
2018,ECU,Ecuador,40.151599,43
2019,ECU,Ecuador,58.722373,39
2020,ECU,Ecuador,56.17412,46
2018,EGY,Egypt,36.248761,45
2019,EGY,Egypt,39.663786,44
2020,EGY,Egypt,58.846028,44
2018,SLV,El Salvador,12.499185,68
2019,SLV,El Salvador,9.233192,81
2020,SLV,El Salvador,66.690177,42
2018,GNQ,Equatorial Guinea,0.023945,139
2019,GNQ,Equatorial Guinea,0.013104,138
2020,GNQ,Equatorial Guinea,0.23122,137
2018,ERI,Eritrea,10.208311,75
2019,ERI,Eritrea,6.157576,89
2020,ERI,Eritrea,4.273554,111
2018,SWZ,Eswatini,5.035854,90
2019,SWZ,Eswatini,1.105173,118
2020,SWZ,Eswatini,6.464573,102
2018,FJI,Fiji,5.376119,89
2019,FJI,Fiji,7.096207,86
2020,FJI,Fiji,18.944837,69
2018,GAB,Gabon,0.042025,138
2019,GAB,Gabon,0.638593,125
2020,GAB,Gabon,0.818341,130
2018,GMB,Gambia,1.984161,108
2019,GMB,Gambia,3.807797,98
2020,GMB,Gambia,1.809203,124
2018,GEO,Georgia,21.912007,56
2019,GEO,Georgia,37.644188,45
2020,GEO,Georgia,3.041408,117
2018,GHA,Ghana,4.499199,92
2019,GHA,Ghana,6.079737,91
2020,GHA,Ghana,10.349065,85
2018,GRD,Grenada,3.328038,97
2019,GRD,Grenada,0.002326,139
2020,GRD,Grenada,2.687923,119
2018,GTM,Guatemala,17.589952,57
2019,GTM,Guatemala,26.974901,51
2020,GTM,Guatemala,28.079047,54
2018,GIN,Guinea,12.262652,70
2019,GIN,Guinea,11.585156,72
2020,GIN,Guinea,8.827702,93
2018,GNB,Guinea-Bissau,1.735715,111
2019,GNB,Guinea-Bissau,3.714268,99
2020,GNB,Guinea-Bissau,2.086241,122
2018,GUY,Guyana,0.722917,120
2019,GUY,Guyana,0.513829,127
2020,GUY,Guyana,0.603661,132
2018,HTI,Haiti,118.343837,28
2019,HTI,Haiti,73.871124,36
2020,HTI,Haiti,117.777482,31
2018,HND,Honduras,17.308171,58
2019,HND,Honduras,21.932198,57
2020,HND,Honduras,97.016119,33
2018,IND,India,124.11138,27
2020,IND,India,70.284048,39
2018,IDN,Indonesia,102.183594,31
2019,IDN,Indonesia,28.92502,48
2020,IDN,Indonesia,37.398613,52
2018,IRN,Iran,31.136511,46
2019,IRN,Iran,43.568057,41
2020,IRN,Iran,57.046291,45
2018,JAM,Jamaica,1.36546,114
2019,JAM,Jamaica,0.255476,131
2020,JAM,Jamaica,0.799037,131
2018,KAZ,Kazakhstan,0.31894,127
2019,KAZ,Kazakhstan,0.236015,132
2020,KAZ,Kazakhstan,19.319539,66
2018,KEN,Kenya,199.45603,20
2019,KEN,Kenya,230.16195,21
2018,KIR,Kiribati,0.151705,133
2019,KIR,Kiribati,0.032441,136
2020,KIR,Kiribati,0.134476,139
2018,XKX,Kosovo,2.353328,102
2019,XKX,Kosovo,2.214391,111
2020,XKX,Kosovo,2.496532,121
2018,KGZ,Kyrgyzstan,4.083638,94
2019,KGZ,Kyrgyzstan,19.187706,64
2020,KGZ,Kyrgyzstan,15.636698,76
2018,LAO,Lao People's Democratic Republic,12.603347,65
2019,LAO,Lao People's Democratic Republic,15.146809,67
2020,LAO,Lao People's Democratic Republic,8.94797,92
