Year,DonorName,RecipientName,ha_rank,ha_oda,total_oda
2020,Islamic Development Bank,Djibouti,73,0.1,4.23295
2020,International Development Association,Djibouti,73,2.287788,34.511441
2020,African Development Fund,Djibouti,73,0,46.568545
2018,Caribbean Development Bank,Dominica,67,0,0.94396
2018,International Development Association,Dominica,67,1.372255,4.611985
2019,International Development Association,Dominica,94,0.226338,11.802155
2019,Caribbean Development Bank,Dominica,94,0,18.716568
2020,International Development Association,Dominica,106,5.074878,20.541909
2020,Caribbean Development Bank,Dominica,106,0,24.299
2018,Inter-American Development Bank,Dominican Republic,86,0,3.084888
2018,Development Bank of Latin America,Dominican Republic,86,0,0
2019,Inter-American Development Bank,Dominican Republic,93,0,2.153608
2019,International Development Association,Dominican Republic,93,0,0
2020,International Development Association,Dominican Republic,118,0,0
2020,Inter-American Development Bank,Dominican Republic,118,0,3.122314
2020,Development Bank of Latin America,Dominican Republic,118,0,0
2019,International Development Association,"Eastern Africa, regional",,0,4.425201
2020,African Development Fund,"Eastern Africa, regional",,0,8.832108
2020,International Development Association,"Eastern Africa, regional",,0.432507,24.987863
2020,African Development Bank,"Eastern Africa, regional",,0,0.155798
2018,Inter-American Development Bank,Ecuador,43,0,7.442867
2018,Development Bank of Latin America,Ecuador,43,0,0
2019,Inter-American Development Bank,Ecuador,39,0,2.912599
2019,International Development Association,Ecuador,39,0,0
2019,Development Bank of Latin America,Ecuador,39,0,0
2020,Inter-American Development Bank,Ecuador,46,0,3.065416
2020,International Development Association,Ecuador,46,0,0
2020,Development Bank of Latin America,Ecuador,46,0,0
2018,International Development Association,Egypt,45,0,0
2018,Islamic Development Bank,Egypt,45,0,6.587863
2018,African Development Bank,Egypt,45,0,1.166379
2018,African Development Fund,Egypt,45,0,0
2019,Islamic Development Bank,Egypt,44,0,12.47695
2019,African Development Bank,Egypt,44,0,1.135004
2019,International Development Association,Egypt,44,0,0
2019,African Development Fund,Egypt,44,0,0
2020,Islamic Development Bank,Egypt,44,0,4.982971
2020,International Development Association,Egypt,44,0,0
2020,African Development Bank,Egypt,44,0,0.747679
2020,African Development Fund,Egypt,44,0,0
2018,Inter-American Development Bank,El Salvador,68,0,3.970221
2019,Inter-American Development Bank,El Salvador,81,0,2.284547
2019,International Development Association,El Salvador,81,0,0
2020,International Development Association,El Salvador,42,0,0
2020,Inter-American Development Bank,El Salvador,42,0.2,4.396307
2018,International Development Association,Equatorial Guinea,139,0,0
2018,African Development Fund,Equatorial Guinea,139,0,0
2019,International Development Association,Equatorial Guinea,138,0,0
2019,African Development Fund,Equatorial Guinea,138,0,0
2020,International Development Association,Equatorial Guinea,137,0,0
