year,variable,amountUSD_defl
2019,Complex,20034636586.656
2020,Complex,19269793268.6617
2021,Complex,19117681746.3651
2018,Complex,16414712760.0265
2019,Physical,15696541235.806
2020,Physical,16992157574.9665
2021,Physical,16359335703.5865
2018,Physical,4795444948.96721
2019,Conflict,17421245332.7423
2020,Conflict,17787020775.6117
2021,Conflict,17526961047.7885
2018,Conflict,17652564536.1472
2019,Displacement,21661819887.1719
2020,Displacement,21788852540.358
2021,Displacement,20283498070.6722
2018,Displacement,19782634079.6783
2019,COVID,46452458.3396831
2020,COVID,5775948087.5
2021,COVID,840902936.204599
2018,COVID,0
2019,Total,23245809603.7748
2020,Total,24282739563.6141
2021,Total,22964654192.3664
2018,Total,22910541178.1891
