iso3,year,Physical,Conflict,Displacement,Complex
CRI,2021,0,0,1,0
CRI,2022,0,0,1,0
DJI,2018,1,0,1,1
DJI,2019,1,0,1,1
DJI,2020,1,0,1,1
DJI,2021,1,0,1,1
DJI,2022,1,0,1,1
DOM,2019,0,0,0,1
DOM,2020,0,0,0,1
DOM,2021,0,0,0,1
DOM,2022,0,0,0,1
DZA,2018,0,0,1,0
DZA,2019,0,0,1,1
DZA,2020,0,0,1,1
DZA,2021,0,0,1,1
DZA,2022,0,0,1,1
ECU,2019,0,0,1,1
ECU,2020,0,0,1,1
ECU,2021,0,0,1,1
ECU,2022,0,0,1,1
EGY,2018,0,0,1,0
EGY,2019,0,0,1,1
EGY,2020,0,0,1,1
EGY,2021,0,0,1,1
EGY,2022,0,0,1,1
ERI,2019,0,1,1,1
ERI,2020,0,1,0,1
ERI,2021,0,1,0,1
ERI,2022,0,0,0,1
ESP,2019,0,0,1,1
ESP,2020,0,0,0,1
ESP,2021,0,0,1,1
ESP,2022,0,0,1,1
ETH,2018,0,1,1,1
ETH,2019,1,0,1,1
ETH,2020,1,1,1,1
ETH,2021,1,1,1,1
ETH,2022,0,1,1,1
FJI,2021,1,0,0,0
FSM,2019,1,0,0,0
GHA,2018,1,0,0,0
GIN,2020,1,0,0,0
GIN,2021,1,0,0,0
GMB,2019,1,0,0,0
GMB,2021,1,0,0,0
GNB,2018,1,0,0,0
GNQ,2021,1,0,0,0
GRC,2019,0,0,1,1
GRC,2020,0,0,1,1
GRC,2021,0,0,1,1
GRC,2022,0,0,1,1
GTM,2018,1,0,0,0
GTM,2019,1,1,1,1
GTM,2020,1,1,1,1
GTM,2021,1,1,1,1
GTM,2022,0,0,0,1
GUY,2021,1,0,0,0
HND,2018,1,0,0,0
HND,2019,1,1,1,1
HND,2020,1,1,1,1
HND,2021,1,1,1,1
HND,2022,0,0,0,1
HTI,2018,1,0,0,0
HTI,2019,0,1,1,1
HTI,2020,1,1,1,1
HTI,2021,1,1,1,1
HTI,2022,1,0,0,1
IDN,2018,1,1,0,0
IDN,2019,1,1,0,1
IDN,2020,1,1,0,1
IDN,2021,1,1,0,1
IDN,2022,0,1,0,0
IND,2018,0,1,0,0
IND,2019,0,1,0,1
IND,2020,1,1,0,1
IND,2021,0,1,0,1
IND,2022,0,1,0,1
IRN,2019,1,0,0,0
IRN,2020,1,0,1,0
IRN,2021,0,0,1,0
IRN,2022,0,0,1,0
IRQ,2018,0,1,1,1
IRQ,2019,0,1,1,1
IRQ,2020,0,1,1,1
IRQ,2021,1,1,1,1
IRQ,2022,0,1,1,1
ITA,2018,0,0,1,0
ITA,2019,0,0,1,1
ITA,2020,0,0,0,1
ITA,2021,0,0,1,1
ITA,2022,0,0,1,1
JOR,2018,0,0,1,0
JOR,2019,0,0,1,1
JOR,2020,0,0,1,1
JOR,2021,0,0,1,1
JOR,2022,0,0,1,1
KEN,2018,1,1,1,1
KEN,2019,1,1,1,1
KEN,2020,1,1,1,1
KEN,2021,1,1,1,1
KEN,2022,1,0,1,1
KHM,2019,1,0,0,0
KHM,2020,1,0,0,0
LAO,2018,1,0,0,0
LAO,2019,1,0,0,0
LAO,2020,1,0,0,0
LAO,2021,1,0,0,0
LBN,2018,0,0,1,0
LBN,2019,0,0,1,1
LBN,2020,1,0,1,1
LBN,2021,1,0,1,1
LBN,2022,0,0,1,1
LBR,2018,0,0,1,0
LBR,2019,0,0,1,0
LBR,2021,0,0,1,0
LBY,2018,0,1,0,0
LBY,2019,1,1,1,1
LBY,2020,0,1,1,1
LBY,2021,0,0,1,1
LBY,2022,0,0,1,1
LSO,2019,1,0,0,0
LSO,2020,1,1,1,1
LSO,2021,1,1,1,1
LSO,2022,1,0,0,1
MAR,2018,1,0,0,0
MAR,2019,0,0,1,1
MAR,2020,0,0,1,1
MAR,2021,0,0,1,1
MAR,2022,0,0,1,1
MDG,2018,1,0,0,0
MDG,2019,1,1,1,1
MDG,2020,1,1,1,1
MDG,2021,1,1,1,1
MDG,2022,1,0,0,1
MEX,2018,0,1,0,0
MEX,2019,0,1,1,1
MEX,2020,1,1,1,1
MEX,2021,1,1,1,1
MEX,2022,0,1,1,1
MLI,2018,0,1,0,0
MLI,2019,0,1,1,1
MLI,2020,1,1,1,1
MLI,2021,0,1,1,1
MLI,2022,0,0,0,1
MMR,2018,1,1,0,1
MMR,2019,0,1,0,1
MMR,2020,0,1,0,1
MMR,2021,1,1,0,1
MMR,2022,0,1,0,1
MNG,2018,1,0,0,0
MNG,2019,1,0,0,0
MNG,2020,1,0,0,0
MNG,2021,1,0,0,0
MOZ,2018,1,1,1,1
MOZ,2019,1,1,1,1
MOZ,2020,1,1,1,1
MOZ,2021,1,1,1,1
MOZ,2022,1,1,0,1
MRT,2018,1,0,1,1
MRT,2019,1,0,1,1
MRT,2020,1,0,1,1
MRT,2021,1,0,1,1
MRT,2022,1,0,1,1
MWI,2018,0,0,1,0
MWI,2019,1,1,1,1
MWI,2020,0,1,1,1
MWI,2021,1,1,1,1
MWI,2022,1,0,0,1
MYS,2021,0,0,1,0
MYS,2022,0,0,1,0
NAM,2018,1,0,0,0
NAM,2020,0,1,1,1
NAM,2021,0,1,1,1
NAM,2022,0,0,0,1
NER,2018,1,1,1,1
NER,2019,1,1,1,1
NER,2020,1,1,1,1
NER,2021,1,1,1,1
NER,2022,0,1,1,1
NGA,2018,1,1,0,1
NGA,2019,0,1,1,1
NGA,2020,1,1,1,1
NGA,2021,0,1,1,1
NGA,2022,0,1,1,1
NIC,2018,1,1,0,1
NIC,2019,1,1,1,1
NIC,2020,1,1,1,1
NIC,2021,1,1,1,1
NIC,2022,0,0,0,1
NPL,2019,1,0,0,0
NPL,2020,1,0,0,0
PAK,2018,0,1,0,0
PAK,2019,1,1,0,1
PAK,2020,1,1,0,1
PAK,2021,0,1,0,1
PAK,2022,0,1,0,1
PAN,2019,0,0,1,1
PAN,2020,0,0,0,1
PAN,2021,0,0,0,1
PAN,2022,0,0,0,1
PER,2019,0,0,1,1
PER,2020,0,0,1,1
PER,2021,0,0,1,1
PER,2022,0,0,1,1
PHL,2018,1,1,0,0
PHL,2019,1,1,0,1
PHL,2020,1,1,0,1
PHL,2021,1,1,0,1
PHL,2022,1,1,0,1
PNG,2018,1,0,0,0
PNG,2019,1,1,1,1
PNG,2020,1,0,0,0
PRK,2018,1,0,0,0
PRK,2019,1,1,1,1
PRK,2020,1,1,1,1
PRK,2021,0,1,1,1
PRK,2022,0,0,0,1
PSE,2018,0,1,0,0
PSE,2019,0,1,0,0
PSE,2020,0,1,0,0
PSE,2021,0,1,0,0
PSE,2022,0,1,0,0
RWA,2018,1,0,1,1
RWA,2019,0,0,1,0
RWA,2020,1,0,1,1
RWA,2021,1,0,1,1
RWA,2022,0,0,1,0
SDN,2018,1,1,1,1
SDN,2019,1,1,1,1
SDN,2020,1,1,1,1
SDN,2021,1,1,1,1
SDN,2022,0,1,1,1
SEN,2018,1,0,0,0
SEN,2019,1,0,0,0
SEN,2020,1,0,0,0
SEN,2021,1,0,0,0
SEN,2022,1,0,0,0
SLB,2018,1,0,0,0
SLB,2020,1,0,0,0
SLE,2019,1,0,0,0
SLE,2021,1,0,0,0
SLV,2019,0,0,0,1
SLV,2020,0,0,0,1
SLV,2021,0,0,0,1
SLV,2022,0,0,0,1
SOM,2018,1,1,1,1
SOM,2019,1,1,1,1
SOM,2020,1,1,1,1
SOM,2021,1,1,1,1
SOM,2022,1,0,1,1
SSD,2018,0,1,1,1
SSD,2019,1,1,1,1
SSD,2020,1,1,1,1
SSD,2021,1,1,1,1
SSD,2022,0,0,0,1
STP,2021,1,0,0,0
SUR,2021,1,0,0,0
SWZ,2019,1,0,0,0
SWZ,2020,0,1,1,1
SWZ,2021,0,1,1,1
SWZ,2022,0,0,0,1
SYR,2018,0,1,1,1
SYR,2019,1,1,1,1
SYR,2020,1,1,1,1
SYR,2021,1,1,1,1
SYR,2022,0,1,0,1
TCD,2018,1,1,1,1
TCD,2019,1,1,1,1
TCD,2020,1,1,1,1
TCD,2021,1,1,1,1
TCD,2022,0,1,1,1
TGO,2020,1,0,0,0
THA,2018,0,1,1,0
THA,2019,0,1,1,1
THA,2020,0,1,1,1
THA,2021,0,1,1,1
THA,2022,0,1,1,1
TJK,2021,1,1,0,1
TLS,2020,1,0,0,0
TLS,2021,1,0,0,0
TON,2022,1,0,0,0
TTO,2018,0,0,1,0
TTO,2019,0,0,1,1
TTO,2020,0,0,1,1
TTO,2021,0,0,1,1
TTO,2022,0,0,1,1
TUN,2018,1,0,0,0
TUN,2019,0,0,1,1
TUN,2020,0,0,1,1
TUN,2021,0,0,1,1
TUN,2022,0,0,1,1
TUR,2018,0,1,1,0
TUR,2019,0,1,1,1
TUR,2020,0,1,1,1
TUR,2021,0,1,1,1
TUR,2022,0,1,1,1
TUV,2020,1,0,0,0
TUV,2021,1,0,0,0
TZA,2018,0,0,1,0
TZA,2019,1,0,1,1
TZA,2020,1,0,1,1
TZA,2021,0,0,1,1
TZA,2022,0,0,1,1
UGA,2018,0,1,1,1
UGA,2019,1,1,1,1
UGA,2020,1,1,1,1
UGA,2021,1,1,1,1
UGA,2022,0,0,1,0
UKR,2018,0,1,0,0
UKR,2019,0,1,0,0
UKR,2020,0,1,0,0
UKR,2021,0,1,0,0
UKR,2022,0,1,0,0
VCT,2021,1,0,0,0
VEN,2019,0,1,1,1
VEN,2020,0,1,1,1
VEN,2021,1,1,0,1
VEN,2022,0,0,0,1
VNM,2020,1,0,0,0
VNM,2021,1,0,0,0
VUT,2018,1,0,0,0
VUT,2020,1,0,0,0
VUT,2021,1,0,0,0
YEM,2018,0,1,1,1
YEM,2019,1,1,1,1
YEM,2020,1,1,1,1
YEM,2021,1,1,1,1
YEM,2022,0,1,1,1
ZMB,2019,1,0,0,0
ZMB,2020,1,1,1,1
ZMB,2021,1,1,1,1
ZMB,2022,1,0,0,1
ZWE,2019,1,1,1,1
ZWE,2020,1,0,1,1
ZWE,2021,1,0,1,1
ZWE,2022,0,0,0,1
