iso3,year,Physical,Conflict,Displacement,Complex
AFG,2018,1,1,1,1
AFG,2019,1,1,1,1
AFG,2020,1,1,1,1
AFG,2021,1,1,1,1
AFG,2022,0,0,0,1
AGO,2020,1,0,0,0
AGO,2021,1,1,1,1
AGO,2022,1,0,0,1
ARG,2019,0,0,1,0
ARM,2020,0,1,0,1
ARM,2021,0,1,0,1
ARM,2022,0,1,0,1
AZE,2020,0,1,0,1
AZE,2021,0,1,0,1
AZE,2022,0,1,0,1
BDI,2018,1,0,1,1
BDI,2019,1,0,1,1
BDI,2020,1,0,1,1
BDI,2021,1,0,1,1
BDI,2022,0,0,0,1
BEN,2021,1,0,0,0
BFA,2018,0,1,0,0
BFA,2019,0,1,0,0
BFA,2020,1,1,0,1
BFA,2021,1,1,1,1
BFA,2022,0,1,0,0
BGD,2018,0,0,1,0
BGD,2019,1,0,1,1
BGD,2020,1,0,1,1
BGD,2021,1,0,1,1
BGD,2022,0,0,1,1
BHS,2019,1,0,0,0
BHS,2020,1,0,0,0
BIH,2018,0,0,1,0
BIH,2019,0,0,1,0
BLZ,2020,1,0,0,0
BOL,2018,1,0,0,0
BOL,2019,1,0,0,0
BOL,2020,1,0,0,0
BOL,2021,1,0,0,0
BRA,2019,0,0,1,1
BRA,2020,0,0,1,1
BRA,2021,0,0,1,1
BRA,2022,1,0,1,1
CAF,2018,0,1,1,1
CAF,2019,1,1,1,1
CAF,2020,1,1,1,1
CAF,2021,0,1,1,1
CAF,2022,0,0,0,1
CHL,2019,0,0,0,1
CHL,2020,0,0,0,1
CHL,2021,0,0,0,1
CHL,2022,0,0,0,1
CHN,2020,1,0,0,0
CHN,2021,1,0,0,0
CIV,2018,1,0,0,0
CMR,2018,0,1,0,0
CMR,2019,0,1,1,1
CMR,2020,1,1,1,1
CMR,2021,0,1,1,1
CMR,2022,0,1,1,1
COD,2018,0,1,1,1
COD,2019,1,1,1,1
COD,2020,1,1,1,1
COD,2021,1,1,1,1
COD,2022,0,0,0,1
COG,2018,0,1,0,0
COG,2019,1,1,0,1
COG,2020,1,1,1,1
COG,2021,1,0,1,1
COG,2022,0,0,0,1
COL,2018,0,0,1,0
COL,2019,0,0,1,1
COL,2020,1,0,1,1
COL,2021,1,0,1,1
COL,2022,0,0,1,1
COM,2019,1,0,0,0
CRI,2019,0,0,1,0
CRI,2020,0,0,1,0
