year,variable,amountUSD_defl
2019,Complex,19988184128.3163
2020,Complex,16184234194.1617
2021,Complex,18457773638.5847
2018,Complex,16414712760.0265
2019,Physical,15696450096.8259
2020,Physical,14194812677.9665
2021,Physical,15966539704.6171
2018,Physical,4795444948.96721
2019,Conflict,17374792874.4026
2020,Conflict,15164392270.1117
2021,Conflict,16891135397.5713
2018,Conflict,17652564536.1472
2019,Displacement,21615367428.8322
2020,Displacement,18699796909.858
2021,Displacement,19760663940.7343
2018,Displacement,19782634079.6783
2019,COVID,46452458.3396831
2020,COVID,4160847111.5
2021,COVID,833018564.993208
2018,COVID,0
2019,Total,23245809603.7748
2020,Total,24282739563.6141
2021,Total,22964654192.3664
2018,Total,22910541178.1891
