id,plan_name,location,type,year,COVID.Funded through this plan,COVID.Unmet requirements,COVID.Total requirements,Funded through this plan,Unmet requirements,Total requirements
1041,Ethiopia Humanitarian Response Plan 2021,Ethiopia,Humanitarian response plan,2021,0,0,0,678882670,809144511,1488027181
1042,Zimbabwe Humanitarian Response Plan 2021,Zimbabwe,Humanitarian response plan,2021,0,0,0,94729393,412242068,506971461
1043,Haiti Humanitarian Response Plan 2021,Haiti,Humanitarian response plan,2021,0,0,0,64992083,170603084,235595167
1044,Syria Humanitarian Response Plan 2021,Syrian Arab Republic,Humanitarian response plan,2021,0,0,0,1967386257,2257030445,4224416702
1045,Honduras Flash Appeal 2020-2021,Honduras,Flash appeal,2021,0,0,0,80476279,9613570,90089849
1046,Myanmar Humanitarian Response Plan 2021,Myanmar,Humanitarian response plan,2021,0,0,0,211928156,64527783,276455939
1047,Madagascar's Grand Sud Flash Appeal 2021,Madagascar,Flash appeal,2021,0,0,0,126856583,39332230,166188813
1048,Nepal Covid-19 Response Plan 2021,Nepal,Other,2021,0,0,0,5555176,78066076,83621252
1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,occupied Palestinian territory,Flash appeal,2021,0,0,0,61095001,33967067,95062068
1050,Lebanon Emergency Response Plan 2021,Lebanon,Other,2021,0,0,0,69756828,98219898,167976726
1051,Myanmar Interim Emergency Response Plan 2021,Myanmar,Other,2021,0,0,0,18275636,90886190,109161826
1052,Guatemala Plan de Respuesta Humanitario 2021,Guatemala,Humanitarian response plan,2021,0,0,0,33350695,22941137,56291832
1053,Honduras Plan de Respuesta Humanitario 2021,Honduras,Humanitarian response plan,2021,0,0,0,21322569,57580515,78903084
1054,El Salvador Plan de Respuesta Humanitario 2021,El Salvador,Humanitarian response plan,2021,0,0,0,22246041,19910657,42156698
1055,Northern Ethiopia Response Plan 2021,Ethiopia,Other,2021,0,0,0,679571716,277380284,956952000
1056,Haiti Flash Appeal 2021,Haiti,Flash appeal,2021,0,0,0,80582608,106712392,187295000
1057,Afghanistan Flash Appeal 2021,Afghanistan,Flash appeal,2021,0,0,0,998842137,0,998842137
1073,Kenya Drought Flash Appeal 2021,Kenya,Flash appeal,2021,0,0,0,15202484,124296056,139498540
