year,fund,amount
2020,Central Emergency Response Fund,864369721.111968
2020,Start Network,765101.601931266
2020,DREF,28083145.5013938
2021,Central Emergency Response Fund,500201027.997405
2021,Start Network,451624.61857411
2021,DREF,28453652.3691545
